,group,variable,month,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS POST,MEDIDAS PREVENTIVAS POST,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,medidas preventivas,2016-01-01,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,3
ACHACACHI,atencion odontologica,medidas preventivas,2016-01-01,6,28,2,3,1,0,0,5,2,4,0,0,0,0,11,40,51
ACHOCALLA,atencion odontologica,medidas preventivas,2016-01-01,9,20,5,3,0,0,1,8,0,0,0,0,0,0,15,31,46
AIQUILE,atencion odontologica,medidas preventivas,2016-01-01,81,109,103,146,17,22,32,132,10,7,0,0,0,0,243,416,659
ALALAY,atencion odontologica,medidas preventivas,2016-01-01,4,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,6
ALCALA,atencion odontologica,medidas preventivas,2016-01-01,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,4
ALTO BENI,atencion odontologica,medidas preventivas,2016-01-01,0,2,2,3,0,0,0,2,0,0,0,0,0,0,2,7,9
ANCORAIMES,atencion odontologica,medidas preventivas,2016-01-01,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
ANDAMARCA,atencion odontologica,medidas preventivas,2016-01-01,4,9,0,0,0,2,0,0,10,8,0,0,0,0,14,19,33
ANTEQUERA,atencion odontologica,medidas preventivas,2016-01-01,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,2,3
ANZALDO,atencion odontologica,medidas preventivas,2016-01-01,5,7,0,0,0,0,1,2,15,17,0,0,0,0,21,26,47
APOLO,atencion odontologica,medidas preventivas,2016-01-01,2,2,1,2,0,0,0,1,0,0,0,0,0,0,3,5,8
ARAMPAMPA,atencion odontologica,medidas preventivas,2016-01-01,27,17,2,0,0,0,0,0,0,0,0,0,0,0,29,17,46
ARANI,atencion odontologica,medidas preventivas,2016-01-01,29,39,68,48,19,24,2,14,2,2,0,0,0,0,120,127,247
ARBIETO,atencion odontologica,medidas preventivas,2016-01-01,4,7,1,13,0,4,0,12,2,0,0,0,0,0,7,36,43
ARQUE,atencion odontologica,medidas preventivas,2016-01-01,2,4,0,3,0,2,2,3,1,4,0,0,0,0,5,16,21
ASCENCION DE GUARAYOS,atencion odontologica,medidas preventivas,2016-01-01,28,31,0,0,0,10,0,5,0,1,0,0,0,0,28,47,75
ATOCHA,atencion odontologica,medidas preventivas,2016-01-01,23,17,34,38,9,27,59,59,2,3,0,0,0,0,127,144,271
AUCAPATA,atencion odontologica,medidas preventivas,2016-01-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
AYATA,atencion odontologica,medidas preventivas,2016-01-01,11,10,0,0,0,1,0,4,2,0,0,0,0,0,13,15,28
AYO AYO,atencion odontologica,medidas preventivas,2016-01-01,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,4
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,medidas preventivas,2016-01-01,18,17,55,88,32,85,51,94,4,4,0,0,0,0,160,288,448
AZURDUY,atencion odontologica,medidas preventivas,2016-01-01,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5
BATALLAS,atencion odontologica,medidas preventivas,2016-01-01,5,3,0,1,0,0,0,0,0,0,0,0,0,0,5,4,9
BAURES,atencion odontologica,medidas preventivas,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
BELEN DE URMIRI,atencion odontologica,medidas preventivas,2016-01-01,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
BELLA FLOR,atencion odontologica,medidas preventivas,2016-01-01,2,0,72,56,0,2,0,2,0,0,0,0,0,0,74,60,134
BERMEJO,atencion odontologica,medidas preventivas,2016-01-01,11,14,28,56,17,17,17,50,0,2,0,0,0,0,73,139,212
BETANZOS,atencion odontologica,medidas preventivas,2016-01-01,36,28,1,3,0,1,2,4,2,0,0,0,0,0,41,36,77
BOLIVAR,atencion odontologica,medidas preventivas,2016-01-01,6,2,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8
BUENA VISTA,atencion odontologica,medidas preventivas,2016-01-01,19,47,1,5,0,2,1,1,0,0,0,0,0,0,21,55,76
CABEZAS,atencion odontologica,medidas preventivas,2016-01-01,139,67,2,1,1,2,3,3,0,0,0,0,0,0,145,73,218
CAIROMA,atencion odontologica,medidas preventivas,2016-01-01,0,0,2,0,2,0,3,2,0,0,0,0,0,0,7,2,9
"CAIZA ""D""",atencion odontologica,medidas preventivas,2016-01-01,4,3,0,0,0,0,0,1,0,0,0,0,0,0,4,4,8
CAJUATA,atencion odontologica,medidas preventivas,2016-01-01,28,33,8,2,2,3,0,7,0,0,0,0,0,0,38,45,83
CALACOTO,atencion odontologica,medidas preventivas,2016-01-01,4,5,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9
CALAMARCA,atencion odontologica,medidas preventivas,2016-01-01,7,17,2,10,0,3,0,5,0,0,0,0,0,0,9,35,44
CAMARGO,atencion odontologica,medidas preventivas,2016-01-01,17,21,0,0,0,0,1,0,0,0,0,0,0,0,18,21,39
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,medidas preventivas,2016-01-01,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,5,5
CAMIRI,atencion odontologica,medidas preventivas,2016-01-01,35,24,5,8,4,8,4,13,2,4,0,0,0,0,50,57,107
CAPINOTA,atencion odontologica,medidas preventivas,2016-01-01,41,50,97,147,18,44,29,109,7,4,0,0,0,0,192,354,546
CAQUIAVIRI,atencion odontologica,medidas preventivas,2016-01-01,14,14,2,0,0,0,0,0,0,0,0,0,0,0,16,14,30
CARACOLLO,atencion odontologica,medidas preventivas,2016-01-01,14,11,30,28,23,8,2,6,2,1,0,0,0,0,71,54,125
CARANAVI,atencion odontologica,medidas preventivas,2016-01-01,35,25,8,28,17,15,9,13,0,0,0,0,0,0,69,81,150
CARANGAS,atencion odontologica,medidas preventivas,2016-01-01,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,3
CARAPARI,atencion odontologica,medidas preventivas,2016-01-01,0,10,21,47,8,33,1,5,0,0,0,0,0,0,30,95,125
CARIPUYO,atencion odontologica,medidas preventivas,2016-01-01,35,37,1,0,0,0,0,2,6,7,0,0,0,0,42,46,88
