,group,variable,month,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES EMB,RESTAURACIONES EMB,RESTAURACIONES POST,RESTAURACIONES POST,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,
ACACIO,atencion odontologica,restauraciones,2016-01-01,2,2,3,1,0,0,3,6,0,2,0,0,0,0,8,11,19
ACHACACHI,atencion odontologica,restauraciones,2016-01-01,34,49,11,9,3,8,9,34,5,8,0,0,0,0,62,108,170
ACHOCALLA,atencion odontologica,restauraciones,2016-01-01,32,33,13,14,3,8,3,29,1,0,0,0,0,0,52,84,136
AIQUILE,atencion odontologica,restauraciones,2016-01-01,28,56,44,34,17,18,22,119,8,5,0,0,0,0,119,232,351
ALALAY,atencion odontologica,restauraciones,2016-01-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ALCALA,atencion odontologica,restauraciones,2016-01-01,4,2,4,3,4,4,5,6,1,0,0,0,0,0,18,15,33
ALTO BENI,atencion odontologica,restauraciones,2016-01-01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
ANCORAIMES,atencion odontologica,restauraciones,2016-01-01,2,5,0,0,0,2,1,5,2,2,0,0,0,0,5,14,19
ANDAMARCA,atencion odontologica,restauraciones,2016-01-01,9,16,1,1,5,18,18,30,3,10,0,0,0,0,36,75,111
ANTEQUERA,atencion odontologica,restauraciones,2016-01-01,5,2,3,1,0,0,1,10,0,0,0,0,0,0,9,13,22
ANZALDO,atencion odontologica,restauraciones,2016-01-01,1,3,0,1,0,0,2,16,0,0,0,0,0,0,3,20,23
APOLO,atencion odontologica,restauraciones,2016-01-01,2,3,0,1,0,2,0,3,0,0,0,0,0,0,2,9,11
ARAMPAMPA,atencion odontologica,restauraciones,2016-01-01,4,6,5,0,0,0,0,1,0,0,0,0,0,0,9,7,16
ARANI,atencion odontologica,restauraciones,2016-01-01,49,39,38,8,14,8,3,18,0,0,0,0,0,0,104,73,177
ARBIETO,atencion odontologica,restauraciones,2016-01-01,28,22,3,18,1,19,0,32,8,4,0,0,0,0,40,95,135
ARQUE,atencion odontologica,restauraciones,2016-01-01,4,5,5,5,2,14,2,24,0,5,0,0,0,0,13,53,66
ASCENCION DE GUARAYOS,atencion odontologica,restauraciones,2016-01-01,23,22,0,0,3,46,1,54,0,5,0,0,0,0,27,127,154
ATOCHA,atencion odontologica,restauraciones,2016-01-01,10,14,34,42,21,50,33,66,1,2,0,0,0,0,99,174,273
AUCAPATA,atencion odontologica,restauraciones,2016-01-01,0,1,0,0,1,1,0,8,0,0,0,0,0,0,1,10,11
AYATA,atencion odontologica,restauraciones,2016-01-01,1,7,0,0,2,5,0,13,0,0,0,0,0,0,3,25,28
AYO AYO,atencion odontologica,restauraciones,2016-01-01,5,11,2,0,1,1,1,4,7,0,0,0,0,0,16,16,32
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,restauraciones,2016-01-01,40,44,6,56,21,72,45,116,7,9,0,0,0,0,119,297,416
AZURDUY,atencion odontologica,restauraciones,2016-01-01,2,0,1,5,0,2,5,28,0,0,0,0,0,0,8,35,43
BATALLAS,atencion odontologica,restauraciones,2016-01-01,13,4,1,2,0,7,0,8,0,0,0,0,0,0,14,21,35
BAURES,atencion odontologica,restauraciones,2016-01-01,0,0,4,5,5,7,8,17,4,0,0,0,0,0,21,29,50
BELEN DE ANDAMARCA,atencion odontologica,restauraciones,2016-01-01,0,3,0,0,0,0,1,5,6,0,0,0,0,0,7,8,15
BELEN DE URMIRI,atencion odontologica,restauraciones,2016-01-01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
BELLA FLOR,atencion odontologica,restauraciones,2016-01-01,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,3
BERMEJO,atencion odontologica,restauraciones,2016-01-01,8,18,50,102,118,186,90,185,16,25,0,0,0,0,282,516,798
BETANZOS,atencion odontologica,restauraciones,2016-01-01,21,18,15,18,6,27,14,43,8,7,0,0,0,0,64,113,177
BOLIVAR,atencion odontologica,restauraciones,2016-01-01,16,4,2,1,3,0,3,5,0,0,0,0,0,0,24,10,34
BOYUIBE,atencion odontologica,restauraciones,2016-01-01,0,1,1,5,3,5,4,11,1,1,0,0,0,0,9,23,32
BUENA VISTA,atencion odontologica,restauraciones,2016-01-01,34,23,3,12,3,16,6,37,1,1,0,0,0,0,47,89,136
CABEZAS,atencion odontologica,restauraciones,2016-01-01,3,10,2,1,7,21,6,17,2,1,0,0,0,0,20,50,70
CAIROMA,atencion odontologica,restauraciones,2016-01-01,0,1,0,0,3,3,3,0,0,0,0,0,0,0,6,4,10
"CAIZA ""D""",atencion odontologica,restauraciones,2016-01-01,6,8,11,8,3,9,1,21,2,0,0,0,0,0,23,46,69
CAJUATA,atencion odontologica,restauraciones,2016-01-01,4,9,7,3,13,8,3,17,0,0,0,0,0,0,27,37,64
CALACOTO,atencion odontologica,restauraciones,2016-01-01,0,4,4,2,0,2,5,5,1,1,0,0,0,0,10,14,24
CALAMARCA,atencion odontologica,restauraciones,2016-01-01,21,29,3,7,9,16,13,17,1,3,0,0,0,0,47,72,119
CAMARGO,atencion odontologica,restauraciones,2016-01-01,17,14,6,1,0,8,1,32,2,4,0,0,0,0,26,59,85
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,restauraciones,2016-01-01,4,0,0,4,0,9,3,11,0,0,0,0,0,0,7,24,31
CAMIRI,atencion odontologica,restauraciones,2016-01-01,20,22,26,11,32,11,25,123,10,13,0,0,0,0,113,180,293
CAPINOTA,atencion odontologica,restauraciones,2016-01-01,27,33,71,95,11,18,25,80,5,1,0,0,0,0,139,227,366
CAQUIAVIRI,atencion odontologica,restauraciones,2016-01-01,7,6,12,11,5,16,7,7,2,1,0,0,0,0,33,41,74
CARACOLLO,atencion odontologica,restauraciones,2016-01-01,26,23,54,111,63,74,14,54,10,6,0,0,0,0,167,268,435
CARANAVI,atencion odontologica,restauraciones,2016-01-01,9,12,9,17,9,24,17,45,19,14,0,0,0,0,63,112,175
CARANGAS,atencion odontologica,restauraciones,2016-01-01,0,0,1,1,0,0,3,2,0,2,0,0,0,0,4,5,9
CARAPARI,atencion odontologica,restauraciones,2016-01-01,3,4,29,103,50,122,52,98,0,0,0,0,0,0,134,327,461
CARIPUYO,atencion odontologica,restauraciones,2016-01-01,8,4,0,0,3,2,4,16,3,1,0,0,0,0,18,23,41
CARMEN RIVERO TORREZ,atencion odontologica,restauraciones,2016-01-01,5,8,1,2,0,0,1,5,1,1,0,0,0,0,8,16,24
