,group,variable,month,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2016-01-01,2,0,2,2,1,2,3,1,2,0,0,0,0,0,10,5,15
COTOCA,atencion odontologica,trat. de fracturas dentoalveolares,2016-01-01,1,0,0,1,0,3,2,1,0,0,0,0,0,0,3,5,8
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2016-01-01,0,0,1,1,0,1,2,0,0,0,0,0,0,0,3,2,5
HUACARETA,atencion odontologica,trat. de fracturas dentoalveolares,2016-01-01,0,0,1,2,1,3,3,10,0,7,0,0,0,0,5,22,27
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2016-01-01,4,2,12,4,1,7,44,45,5,2,0,0,0,0,66,60,126
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2016-01-01,4,0,2,1,1,0,11,11,1,3,0,0,0,0,19,15,34
SAN IGNACIO,atencion odontologica,trat. de fracturas dentoalveolares,2016-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN PEDRO,atencion odontologica,trat. de fracturas dentoalveolares,2016-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2016-01-01,2,0,0,0,7,7,24,14,6,4,0,0,0,0,39,25,64
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2016-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
UYUNI,atencion odontologica,trat. de fracturas dentoalveolares,2016-01-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
CARAPARI,atencion odontologica,trat. de fracturas dentoalveolares,2016-02-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2016-02-01,3,1,0,1,0,0,0,1,1,0,0,0,0,0,4,3,7
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2016-02-01,6,2,7,2,2,3,35,45,5,3,0,0,0,0,55,55,110
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2016-02-01,0,0,3,6,0,1,13,11,6,0,0,0,0,0,22,18,40
POTOSI,atencion odontologica,trat. de fracturas dentoalveolares,2016-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN PEDRO,atencion odontologica,trat. de fracturas dentoalveolares,2016-02-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2016-02-01,0,0,1,1,1,2,15,17,3,0,0,0,0,0,20,20,40
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2016-02-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
TARABUCO,atencion odontologica,trat. de fracturas dentoalveolares,2016-02-01,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2016-02-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TRINIDAD,atencion odontologica,trat. de fracturas dentoalveolares,2016-02-01,0,0,1,1,1,0,0,3,1,0,0,0,0,0,3,4,7
CABEZAS,atencion odontologica,trat. de fracturas dentoalveolares,2016-03-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2
COCAPATA,atencion odontologica,trat. de fracturas dentoalveolares,2016-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2016-03-01,2,1,3,1,0,1,3,16,7,3,0,0,0,0,15,22,37
COTOCA,atencion odontologica,trat. de fracturas dentoalveolares,2016-03-01,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2016-03-01,1,0,1,6,0,0,6,0,0,0,0,0,0,0,8,6,14
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2016-03-01,7,1,12,6,0,1,36,44,4,4,0,0,0,0,59,56,115
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2016-03-01,6,0,2,9,0,0,11,18,9,0,0,0,0,0,28,27,55
POTOSI,atencion odontologica,trat. de fracturas dentoalveolares,2016-03-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
QUILLACOLLO,atencion odontologica,trat. de fracturas dentoalveolares,2016-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2016-03-01,3,0,7,5,9,5,9,25,4,0,0,0,0,0,32,35,67
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2016-03-01,0,0,0,0,0,0,5,1,0,0,0,0,0,0,5,1,6
CHAYANTA,atencion odontologica,trat. de fracturas dentoalveolares,2016-04-01,0,0,1,5,0,0,0,2,5,1,0,0,0,0,6,8,14
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2016-04-01,2,2,0,1,0,0,1,1,0,0,0,0,0,0,3,4,7
COTAGAITA,atencion odontologica,trat. de fracturas dentoalveolares,2016-04-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
LA GUARDIA,atencion odontologica,trat. de fracturas dentoalveolares,2016-04-01,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2016-04-01,0,2,6,9,1,0,16,26,6,1,0,0,0,0,29,38,67
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2016-04-01,0,0,3,1,0,0,12,4,6,0,0,0,0,0,21,5,26
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2016-04-01,4,0,2,1,1,0,14,18,2,0,0,0,0,0,23,19,42
