,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR POST,CIRUGIA BUCOMAXILOFACIAL MENOR POST,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,
ARBIETO,atencion odontologica,cirugia bucomaxilofacial menor,2016-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CARAPARI,atencion odontologica,cirugia bucomaxilofacial menor,2016-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CHALLAPATA,atencion odontologica,cirugia bucomaxilofacial menor,2016-01-01,0,2,21,24,3,4,11,7,2,9,0,0,0,0,37,46,83
CHARAGUA,atencion odontologica,cirugia bucomaxilofacial menor,2016-01-01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2
COCAPATA,atencion odontologica,cirugia bucomaxilofacial menor,2016-01-01,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,6,6
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COLOMI,atencion odontologica,cirugia bucomaxilofacial menor,2016-01-01,11,4,0,0,0,0,0,3,1,2,0,0,0,0,12,9,21
COTAGAITA,atencion odontologica,cirugia bucomaxilofacial menor,2016-01-01,0,0,0,0,2,0,0,1,1,0,0,0,0,0,3,1,4
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2016-01-01,2,1,1,3,1,0,0,0,0,0,0,0,0,0,4,4,8
LA GUARDIA,atencion odontologica,cirugia bucomaxilofacial menor,2016-01-01,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2016-01-01,0,5,6,4,3,1,0,11,3,6,0,0,0,0,12,27,39
LAGUNILLAS,atencion odontologica,cirugia bucomaxilofacial menor,2016-01-01,0,0,5,2,0,0,0,8,1,0,0,0,0,0,6,10,16
MAGDALENA,atencion odontologica,cirugia bucomaxilofacial menor,2016-01-01,2,0,3,4,7,3,4,1,0,0,0,0,0,0,16,8,24
ORURO,atencion odontologica,cirugia bucomaxilofacial menor,2016-01-01,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,1,3
PADILLA,atencion odontologica,cirugia bucomaxilofacial menor,2016-01-01,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,3,4
PALOS BLANCOS,atencion odontologica,cirugia bucomaxilofacial menor,2016-01-01,0,0,2,2,3,4,1,5,0,0,0,0,0,0,6,11,17
PAPEL PAMPA,atencion odontologica,cirugia bucomaxilofacial menor,2016-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
PORTACHUELO,atencion odontologica,cirugia bucomaxilofacial menor,2016-01-01,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,4,4
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial menor,2016-01-01,3,6,2,6,1,3,0,2,0,0,0,0,0,0,6,17,23
SAN ANTONIO DE ESMORUCO,atencion odontologica,cirugia bucomaxilofacial menor,2016-01-01,0,0,0,1,0,0,1,2,1,0,0,0,0,0,2,3,5
SAN CARLOS,atencion odontologica,cirugia bucomaxilofacial menor,2016-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,atencion odontologica,cirugia bucomaxilofacial menor,2016-01-01,0,0,0,4,0,0,1,1,1,0,0,0,0,0,2,5,7
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2016-01-01,0,3,3,3,8,12,6,39,10,12,0,0,0,0,27,69,96
SANTA ROSA,atencion odontologica,cirugia bucomaxilofacial menor,2016-01-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
SIPE SIPE,atencion odontologica,cirugia bucomaxilofacial menor,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SUCRE,atencion odontologica,cirugia bucomaxilofacial menor,2016-01-01,0,1,0,0,0,0,6,2,0,0,0,0,0,0,6,3,9
TARIJA,atencion odontologica,cirugia bucomaxilofacial menor,2016-01-01,0,0,1,1,2,0,1,0,1,0,0,0,0,0,5,1,6
TARVITA,atencion odontologica,cirugia bucomaxilofacial menor,2016-01-01,0,0,1,0,1,0,2,20,4,3,0,0,0,0,8,23,31
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial menor,2016-01-01,0,0,0,2,1,0,0,3,0,0,0,0,0,0,1,5,6
TUPIZA,atencion odontologica,cirugia bucomaxilofacial menor,2016-01-01,0,0,1,2,0,4,1,11,1,0,0,0,0,0,3,17,20
VITICHI,atencion odontologica,cirugia bucomaxilofacial menor,2016-01-01,0,0,1,1,0,2,1,6,0,0,0,0,0,0,2,9,11
YACUIBA,atencion odontologica,cirugia bucomaxilofacial menor,2016-01-01,0,0,2,8,0,0,0,0,0,0,0,0,0,0,2,8,10
YAPACANI,atencion odontologica,cirugia bucomaxilofacial menor,2016-01-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,cirugia bucomaxilofacial menor,2016-02-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2
BETANZOS,atencion odontologica,cirugia bucomaxilofacial menor,2016-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
BUENA VISTA,atencion odontologica,cirugia bucomaxilofacial menor,2016-02-01,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,3
"CAIZA ""D""",atencion odontologica,cirugia bucomaxilofacial menor,2016-02-01,0,0,9,4,4,6,7,17,6,7,0,0,0,0,26,34,60
CAMIRI,atencion odontologica,cirugia bucomaxilofacial menor,2016-02-01,0,2,2,1,2,2,1,9,0,4,0,0,0,0,5,18,23
CARAPARI,atencion odontologica,cirugia bucomaxilofacial menor,2016-02-01,0,1,4,3,0,0,1,6,4,0,0,0,0,0,9,10,19
CHALLAPATA,atencion odontologica,cirugia bucomaxilofacial menor,2016-02-01,7,3,17,18,5,4,7,10,4,12,0,0,0,0,40,47,87
