municipality,group,variable,month,Exodoncias,TOTAL
ACHACACHI,atenciones odontologicas,exodoncias,2009-01-01,206,206
ACHOCALLA,atenciones odontologicas,exodoncias,2009-01-01,115,115
AIQUILE,atenciones odontologicas,exodoncias,2009-01-01,23,23
ALALAY,atenciones odontologicas,exodoncias,2009-01-01,11,11
ALCALA,atenciones odontologicas,exodoncias,2009-01-01,23,23
ANCORAIMES,atenciones odontologicas,exodoncias,2009-01-01,72,72
ANDAMARCA,atenciones odontologicas,exodoncias,2009-01-01,4,4
ANTEQUERA,atenciones odontologicas,exodoncias,2009-01-01,30,30
ANZALDO,atenciones odontologicas,exodoncias,2009-01-01,37,37
APOLO,atenciones odontologicas,exodoncias,2009-01-01,49,49
ARAMPAMPA,atenciones odontologicas,exodoncias,2009-01-01,1,1
ARANI,atenciones odontologicas,exodoncias,2009-01-01,30,30
ARBIETO,atenciones odontologicas,exodoncias,2009-01-01,8,8
ARQUE,atenciones odontologicas,exodoncias,2009-01-01,15,15
ASCENCION DE GUARAYOS,atenciones odontologicas,exodoncias,2009-01-01,57,57
ATOCHA,atenciones odontologicas,exodoncias,2009-01-01,1,1
AYATA,atenciones odontologicas,exodoncias,2009-01-01,58,58
AYO AYO,atenciones odontologicas,exodoncias,2009-01-01,43,43
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,exodoncias,2009-01-01,143,143
BATALLAS,atenciones odontologicas,exodoncias,2009-01-01,139,139
BAURES,atenciones odontologicas,exodoncias,2009-01-01,56,56
BELEN DE URMIRI,atenciones odontologicas,exodoncias,2009-01-01,9,9
BERMEJO,atenciones odontologicas,exodoncias,2009-01-01,271,271
BETANZOS,atenciones odontologicas,exodoncias,2009-01-01,107,107
BOLIVAR,atenciones odontologicas,exodoncias,2009-01-01,24,24
BOLPEBRA,atenciones odontologicas,exodoncias,2009-01-01,23,23
BOYUIBE,atenciones odontologicas,exodoncias,2009-01-01,31,31
BUENA VISTA,atenciones odontologicas,exodoncias,2009-01-01,21,21
CABEZAS,atenciones odontologicas,exodoncias,2009-01-01,46,46
CAIROMA,atenciones odontologicas,exodoncias,2009-01-01,98,98
"CAIZA ""D""",atenciones odontologicas,exodoncias,2009-01-01,12,12
CAJUATA,atenciones odontologicas,exodoncias,2009-01-01,13,13
CALACOTO,atenciones odontologicas,exodoncias,2009-01-01,18,18
CALAMARCA,atenciones odontologicas,exodoncias,2009-01-01,110,110
CAMARGO,atenciones odontologicas,exodoncias,2009-01-01,150,150
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,exodoncias,2009-01-01,9,9
CAMIRI,atenciones odontologicas,exodoncias,2009-01-01,167,167
CAPINOTA,atenciones odontologicas,exodoncias,2009-01-01,65,65
CAQUIAVIRI,atenciones odontologicas,exodoncias,2009-01-01,20,20
CARACOLLO,atenciones odontologicas,exodoncias,2009-01-01,78,78
CARANAVI,atenciones odontologicas,exodoncias,2009-01-01,118,118
CARAPARI,atenciones odontologicas,exodoncias,2009-01-01,178,178
CARIPUYO,atenciones odontologicas,exodoncias,2009-01-01,14,14
CARMEN RIVERO TORREZ,atenciones odontologicas,exodoncias,2009-01-01,16,16
CHALLAPATA,atenciones odontologicas,exodoncias,2009-01-01,131,131
CHAQUI,atenciones odontologicas,exodoncias,2009-01-01,15,15
CHARAGUA,atenciones odontologicas,exodoncias,2009-01-01,198,198
CHAYANTA,atenciones odontologicas,exodoncias,2009-01-01,63,63
CHIMORE,atenciones odontologicas,exodoncias,2009-01-01,35,35
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,exodoncias,2009-01-01,81,81
CHUMA,atenciones odontologicas,exodoncias,2009-01-01,89,89
CLIZA,atenciones odontologicas,exodoncias,2009-01-01,38,38
COBIJA,atenciones odontologicas,exodoncias,2009-01-01,200,200
COCHABAMBA,atenciones odontologicas,exodoncias,2009-01-01,1436,1436
COLCAPIRHUA,atenciones odontologicas,exodoncias,2009-01-01,58,58
COLLANA,atenciones odontologicas,exodoncias,2009-01-01,19,19
COLOMI,atenciones odontologicas,exodoncias,2009-01-01,54,54
COLPA BELGICA,atenciones odontologicas,exodoncias,2009-01-01,49,49
COLQUECHACA,atenciones odontologicas,exodoncias,2009-01-01,37,37
COLQUENCHA,atenciones odontologicas,exodoncias,2009-01-01,56,56
