municipality,group,variable,month,Consultas nuevas en personas de 5 años y más,TOTAL
ACHACACHI,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2009-01-01,554,554
ACHOCALLA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2009-01-01,132,132
AIQUILE,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2009-01-01,137,137
ALCALA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2009-01-01,115,115
ANCORAIMES,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2009-01-01,115,115
ANDAMARCA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2009-01-01,15,15
ANTEQUERA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2009-01-01,101,101
ANZALDO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2009-01-01,156,156
APOLO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2009-01-01,108,108
ARAMPAMPA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2009-01-01,12,12
ARANI,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2009-01-01,62,62
ARBIETO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2009-01-01,149,149
ARQUE,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2009-01-01,64,64
ASCENCION DE GUARAYOS,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2009-01-01,121,121
ATOCHA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2009-01-01,7,7
AYATA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2009-01-01,141,141
AYO AYO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2009-01-01,78,78
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2009-01-01,300,300
BATALLAS,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2009-01-01,151,151
BAURES,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2009-01-01,191,191
BELEN DE URMIRI,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2009-01-01,28,28
BERMEJO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2009-01-01,602,602
BETANZOS,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2009-01-01,229,229
BOLIVAR,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2009-01-01,36,36
BOLPEBRA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2009-01-01,43,43
BOYUIBE,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2009-01-01,128,128
BUENA VISTA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2009-01-01,72,72
CABEZAS,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2009-01-01,149,149
CAIROMA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2009-01-01,235,235
"CAIZA ""D""",atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2009-01-01,51,51
CAJUATA,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2009-01-01,21,21
CALACOTO,atenciones odontologicas,consultas nuevas en personas de 5 anos y mas,2009-01-01,48,48
