municipality,group,variable,month,Acciones preventivas,TOTAL
ACHACACHI,atenciones odontologicas,acciones preventivas,2009-01-01,218,218
ACHOCALLA,atenciones odontologicas,acciones preventivas,2009-01-01,31,31
AIQUILE,atenciones odontologicas,acciones preventivas,2009-01-01,33,33
ALALAY,atenciones odontologicas,acciones preventivas,2009-01-01,2,2
ALCALA,atenciones odontologicas,acciones preventivas,2009-01-01,274,274
ANCORAIMES,atenciones odontologicas,acciones preventivas,2009-01-01,86,86
ANTEQUERA,atenciones odontologicas,acciones preventivas,2009-01-01,1,1
ANZALDO,atenciones odontologicas,acciones preventivas,2009-01-01,72,72
APOLO,atenciones odontologicas,acciones preventivas,2009-01-01,27,27
ARAMPAMPA,atenciones odontologicas,acciones preventivas,2009-01-01,2,2
ARBIETO,atenciones odontologicas,acciones preventivas,2009-01-01,167,167
ARQUE,atenciones odontologicas,acciones preventivas,2009-01-01,29,29
ASCENCION DE GUARAYOS,atenciones odontologicas,acciones preventivas,2009-01-01,15,15
AYATA,atenciones odontologicas,acciones preventivas,2009-01-01,99,99
AYO AYO,atenciones odontologicas,acciones preventivas,2009-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,acciones preventivas,2009-01-01,217,217
BAURES,atenciones odontologicas,acciones preventivas,2009-01-01,2,2
BELEN DE URMIRI,atenciones odontologicas,acciones preventivas,2009-01-01,2,2
BERMEJO,atenciones odontologicas,acciones preventivas,2009-01-01,132,132
BETANZOS,atenciones odontologicas,acciones preventivas,2009-01-01,75,75
BOLPEBRA,atenciones odontologicas,acciones preventivas,2009-01-01,49,49
BOYUIBE,atenciones odontologicas,acciones preventivas,2009-01-01,37,37
BUENA VISTA,atenciones odontologicas,acciones preventivas,2009-01-01,7,7
CABEZAS,atenciones odontologicas,acciones preventivas,2009-01-01,114,114
CAIROMA,atenciones odontologicas,acciones preventivas,2009-01-01,93,93
"CAIZA ""D""",atenciones odontologicas,acciones preventivas,2009-01-01,1,1
CALACOTO,atenciones odontologicas,acciones preventivas,2009-01-01,16,16
CALAMARCA,atenciones odontologicas,acciones preventivas,2009-01-01,12,12
CAMARGO,atenciones odontologicas,acciones preventivas,2009-01-01,115,115
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,acciones preventivas,2009-01-01,30,30
CAMIRI,atenciones odontologicas,acciones preventivas,2009-01-01,105,105
CAPINOTA,atenciones odontologicas,acciones preventivas,2009-01-01,454,454
CAQUIAVIRI,atenciones odontologicas,acciones preventivas,2009-01-01,9,9
CARACOLLO,atenciones odontologicas,acciones preventivas,2009-01-01,93,93
CARANAVI,atenciones odontologicas,acciones preventivas,2009-01-01,156,156
CARAPARI,atenciones odontologicas,acciones preventivas,2009-01-01,18,18
CARMEN RIVERO TORREZ,atenciones odontologicas,acciones preventivas,2009-01-01,45,45
CHALLAPATA,atenciones odontologicas,acciones preventivas,2009-01-01,171,171
CHAQUI,atenciones odontologicas,acciones preventivas,2009-01-01,15,15
CHARAGUA,atenciones odontologicas,acciones preventivas,2009-01-01,26,26
CHAYANTA,atenciones odontologicas,acciones preventivas,2009-01-01,23,23
CHIMORE,atenciones odontologicas,acciones preventivas,2009-01-01,62,62
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,acciones preventivas,2009-01-01,152,152
CHUMA,atenciones odontologicas,acciones preventivas,2009-01-01,14,14
CLIZA,atenciones odontologicas,acciones preventivas,2009-01-01,55,55
COBIJA,atenciones odontologicas,acciones preventivas,2009-01-01,821,821
COCHABAMBA,atenciones odontologicas,acciones preventivas,2009-01-01,9044,9044
COLCAPIRHUA,atenciones odontologicas,acciones preventivas,2009-01-01,207,207
COLLANA,atenciones odontologicas,acciones preventivas,2009-01-01,11,11
COLOMI,atenciones odontologicas,acciones preventivas,2009-01-01,229,229
COLPA BELGICA,atenciones odontologicas,acciones preventivas,2009-01-01,111,111
COLQUECHACA,atenciones odontologicas,acciones preventivas,2009-01-01,67,67
COLQUIRI,atenciones odontologicas,acciones preventivas,2009-01-01,5,5
COMANCHE,atenciones odontologicas,acciones preventivas,2009-01-01,2,2
COMARAPA,atenciones odontologicas,acciones preventivas,2009-01-01,23,23
COMBAYA,atenciones odontologicas,acciones preventivas,2009-01-01,12,12
CONCEPCION,atenciones odontologicas,acciones preventivas,2009-01-01,9,9
COPACABANA,atenciones odontologicas,acciones preventivas,2009-01-01,11,11
CORIPATA,atenciones odontologicas,acciones preventivas,2009-01-01,3,3
CORO CORO,atenciones odontologicas,acciones preventivas,2009-01-01,4,4
COROICO,atenciones odontologicas,acciones preventivas,2009-01-01,62,62
COTAGAITA,atenciones odontologicas,acciones preventivas,2009-01-01,44,44
COTOCA,atenciones odontologicas,acciones preventivas,2009-01-01,1,1
CUATRO CAÑADAS,atenciones odontologicas,acciones preventivas,2009-01-01,116,116
CUCHUMUELA (V. G. VILLARROEL),atenciones odontologicas,acciones preventivas,2009-01-01,8,8
CUEVO,atenciones odontologicas,acciones preventivas,2009-01-01,1,1
CULPINA,atenciones odontologicas,acciones preventivas,2009-01-01,8,8
CURVA,atenciones odontologicas,acciones preventivas,2009-01-01,19,19
EL ALTO,atenciones odontologicas,acciones preventivas,2009-01-01,3232,3232
EL PUENTE(STC),atenciones odontologicas,acciones preventivas,2009-01-01,30,30
EL PUENTE(TJA),atenciones odontologicas,acciones preventivas,2009-01-01,94,94
EL TORNO,atenciones odontologicas,acciones preventivas,2009-01-01,35,35
EL VILLAR,atenciones odontologicas,acciones preventivas,2009-01-01,29,29
ENTRE RIOS,atenciones odontologicas,acciones preventivas,2009-01-01,59,59
ENTRE RIOS,atenciones odontologicas,acciones preventivas,2009-01-01,100,100
EUCALIPTUS,atenciones odontologicas,acciones preventivas,2009-01-01,2,2
FERNANDEZ ALONSO,atenciones odontologicas,acciones preventivas,2009-01-01,22,22
FILADELFIA,atenciones odontologicas,acciones preventivas,2009-01-01,59,59
GENERAL SAAVEDRA,atenciones odontologicas,acciones preventivas,2009-01-01,92,92
GRAL. J.J. PEREZ (CHARAZANI),atenciones odontologicas,acciones preventivas,2009-01-01,17,17
GUAQUI,atenciones odontologicas,acciones preventivas,2009-01-01,10,10
GUAYARAMERIN,atenciones odontologicas,acciones preventivas,2009-01-01,178,178
GUTIERREZ,atenciones odontologicas,acciones preventivas,2009-01-01,209,209
HUACARETA,atenciones odontologicas,acciones preventivas,2009-01-01,12,12
HUACHACALLA,atenciones odontologicas,acciones preventivas,2009-01-01,7,7
HUANUNI,atenciones odontologicas,acciones preventivas,2009-01-01,143,143
HUARACAJE,atenciones odontologicas,acciones preventivas,2009-01-01,18,18
HUAYLLAMARCA,atenciones odontologicas,acciones preventivas,2009-01-01,3,3
ICLA,atenciones odontologicas,acciones preventivas,2009-01-01,647,647
INCAHUASI,atenciones odontologicas,acciones preventivas,2009-01-01,396,396
INQUISIVI,atenciones odontologicas,acciones preventivas,2009-01-01,2,2
IRUPANA (VILLA DE LANZA),atenciones odontologicas,acciones preventivas,2009-01-01,112,112
IXIAMAS,atenciones odontologicas,acciones preventivas,2009-01-01,56,56
LA ASUNTA,atenciones odontologicas,acciones preventivas,2009-01-01,16,16
LA GUARDIA,atenciones odontologicas,acciones preventivas,2009-01-01,181,181
LA PAZ,atenciones odontologicas,acciones preventivas,2009-01-01,6059,6059
LAGUNILLAS,atenciones odontologicas,acciones preventivas,2009-01-01,21,21
LAJA,atenciones odontologicas,acciones preventivas,2009-01-01,12,12
LAS CARRERAS,atenciones odontologicas,acciones preventivas,2009-01-01,5,5
LLALLAGUA,atenciones odontologicas,acciones preventivas,2009-01-01,290,290
LLICA,atenciones odontologicas,acciones preventivas,2009-01-01,4,4
LURIBAY,atenciones odontologicas,acciones preventivas,2009-01-01,9,9
