municipality,group,variable,month,Actividades Odontológicas en la Comunidad,TOTAL
ACHACACHI,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,12,12
ACHOCALLA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,23,23
ALCALA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,16,16
ANDAMARCA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,6,6
ANZALDO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,2,2
APOLO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,1,1
ARANI,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,298,298
ARBIETO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,2,2
AYATA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,5,5
AYO AYO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,1,1
BATALLAS,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,7,7
BELEN DE URMIRI,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,2,2
BERMEJO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,5,5
BETANZOS,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,6,6
BOLPEBRA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,4,4
BOYUIBE,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,3,3
CALAMARCA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,7,7
CAMARGO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,11,11
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,4,4
CAMIRI,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,12,12
CAPINOTA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,15,15
CAQUIAVIRI,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,8,8
CARACOLLO,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,4,4
CARANAVI,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,30,30
CARAPARI,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,25,25
CHALLAPATA,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,7,7
CHAQUI,atenciones odontologicas,actividades odontologicas en la comunidad,2009-01-01,1,1
