municipality,group,variable,month,Consultas repetidas en personas de 5 años y más,TOTAL
ACHACACHI,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2009-01-01,56,56
ACHOCALLA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2009-01-01,15,15
AIQUILE,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2009-01-01,73,73
ALALAY,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2009-01-01,6,6
ALCALA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2009-01-01,30,30
ANCORAIMES,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2009-01-01,1,1
ANDAMARCA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2009-01-01,3,3
ANTEQUERA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2009-01-01,12,12
ANZALDO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2009-01-01,4,4
ARAMPAMPA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2009-01-01,3,3
ARANI,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2009-01-01,58,58
ARBIETO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2009-01-01,3,3
ARQUE,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2009-01-01,6,6
ASCENCION DE GUARAYOS,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2009-01-01,7,7
ATOCHA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2009-01-01,1,1
AYATA,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2009-01-01,4,4
AYO AYO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2009-01-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2009-01-01,194,194
BAURES,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2009-01-01,86,86
BERMEJO,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2009-01-01,384,384
BETANZOS,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2009-01-01,93,93
BOLIVAR,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2009-01-01,13,13
BOYUIBE,atenciones odontologicas,consultas repetidas en personas de 5 anos y mas,2009-01-01,29,29
