municipality,group,variable,month,Periodoncias,TOTAL
ACHACACHI,atenciones odontologicas,periodoncias,2009-01-01,8,8
ACHOCALLA,atenciones odontologicas,periodoncias,2009-01-01,9,9
AIQUILE,atenciones odontologicas,periodoncias,2009-01-01,23,23
ALALAY,atenciones odontologicas,periodoncias,2009-01-01,1,1
ALCALA,atenciones odontologicas,periodoncias,2009-01-01,25,25
ANCORAIMES,atenciones odontologicas,periodoncias,2009-01-01,4,4
ANTEQUERA,atenciones odontologicas,periodoncias,2009-01-01,1,1
ANZALDO,atenciones odontologicas,periodoncias,2009-01-01,2,2
ARAMPAMPA,atenciones odontologicas,periodoncias,2009-01-01,1,1
ARANI,atenciones odontologicas,periodoncias,2009-01-01,15,15
ARBIETO,atenciones odontologicas,periodoncias,2009-01-01,1,1
ASCENCION DE GUARAYOS,atenciones odontologicas,periodoncias,2009-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,periodoncias,2009-01-01,14,14
BAURES,atenciones odontologicas,periodoncias,2009-01-01,12,12
BERMEJO,atenciones odontologicas,periodoncias,2009-01-01,24,24
BETANZOS,atenciones odontologicas,periodoncias,2009-01-01,2,2
BUENA VISTA,atenciones odontologicas,periodoncias,2009-01-01,1,1
CABEZAS,atenciones odontologicas,periodoncias,2009-01-01,17,17
CAIROMA,atenciones odontologicas,periodoncias,2009-01-01,1,1
CALAMARCA,atenciones odontologicas,periodoncias,2009-01-01,3,3
CAMARGO,atenciones odontologicas,periodoncias,2009-01-01,3,3
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,periodoncias,2009-01-01,8,8
CAMIRI,atenciones odontologicas,periodoncias,2009-01-01,66,66
CAPINOTA,atenciones odontologicas,periodoncias,2009-01-01,23,23
CARACOLLO,atenciones odontologicas,periodoncias,2009-01-01,20,20
CARANAVI,atenciones odontologicas,periodoncias,2009-01-01,30,30
CARAPARI,atenciones odontologicas,periodoncias,2009-01-01,21,21
CARIPUYO,atenciones odontologicas,periodoncias,2009-01-01,3,3
CARMEN RIVERO TORREZ,atenciones odontologicas,periodoncias,2009-01-01,7,7
CHALLAPATA,atenciones odontologicas,periodoncias,2009-01-01,7,7
CHAQUI,atenciones odontologicas,periodoncias,2009-01-01,10,10
CHARAGUA,atenciones odontologicas,periodoncias,2009-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,periodoncias,2009-01-01,2,2
CHUMA,atenciones odontologicas,periodoncias,2009-01-01,1,1
CLIZA,atenciones odontologicas,periodoncias,2009-01-01,60,60
COBIJA,atenciones odontologicas,periodoncias,2009-01-01,14,14
COCHABAMBA,atenciones odontologicas,periodoncias,2009-01-01,1415,1415
COLCAPIRHUA,atenciones odontologicas,periodoncias,2009-01-01,108,108
COLLANA,atenciones odontologicas,periodoncias,2009-01-01,2,2
COLOMI,atenciones odontologicas,periodoncias,2009-01-01,8,8
COLPA BELGICA,atenciones odontologicas,periodoncias,2009-01-01,17,17
COLQUIRI,atenciones odontologicas,periodoncias,2009-01-01,4,4
COMARAPA,atenciones odontologicas,periodoncias,2009-01-01,17,17
CONCEPCION,atenciones odontologicas,periodoncias,2009-01-01,1,1
COROICO,atenciones odontologicas,periodoncias,2009-01-01,21,21
COTAGAITA,atenciones odontologicas,periodoncias,2009-01-01,4,4
COTOCA,atenciones odontologicas,periodoncias,2009-01-01,2,2
CUATRO CAÑADAS,atenciones odontologicas,periodoncias,2009-01-01,4,4
CUCHUMUELA (V. G. VILLARROEL),atenciones odontologicas,periodoncias,2009-01-01,7,7
CUEVO,atenciones odontologicas,periodoncias,2009-01-01,1,1
CULPINA,atenciones odontologicas,periodoncias,2009-01-01,2,2
CURAHUARA DE CARANGAS,atenciones odontologicas,periodoncias,2009-01-01,2,2
EL ALTO,atenciones odontologicas,periodoncias,2009-01-01,392,392
EL PUENTE(STC),atenciones odontologicas,periodoncias,2009-01-01,1,1
EL PUENTE(TJA),atenciones odontologicas,periodoncias,2009-01-01,6,6
EL TORNO,atenciones odontologicas,periodoncias,2009-01-01,1,1
EL VILLAR,atenciones odontologicas,periodoncias,2009-01-01,2,2
ENTRE RIOS,atenciones odontologicas,periodoncias,2009-01-01,15,15
ENTRE RIOS,atenciones odontologicas,periodoncias,2009-01-01,8,8
FERNANDEZ ALONSO,atenciones odontologicas,periodoncias,2009-01-01,11,11
FILADELFIA,atenciones odontologicas,periodoncias,2009-01-01,12,12
GENERAL SAAVEDRA,atenciones odontologicas,periodoncias,2009-01-01,8,8
GUANAY,atenciones odontologicas,periodoncias,2009-01-01,7,7
GUAQUI,atenciones odontologicas,periodoncias,2009-01-01,5,5
GUAYARAMERIN,atenciones odontologicas,periodoncias,2009-01-01,18,18
GUTIERREZ,atenciones odontologicas,periodoncias,2009-01-01,5,5
HUACARETA,atenciones odontologicas,periodoncias,2009-01-01,2,2
HUACHACALLA,atenciones odontologicas,periodoncias,2009-01-01,1,1
HUANUNI,atenciones odontologicas,periodoncias,2009-01-01,9,9
HUARACAJE,atenciones odontologicas,periodoncias,2009-01-01,23,23
ICLA,atenciones odontologicas,periodoncias,2009-01-01,4,4
IRUPANA (VILLA DE LANZA),atenciones odontologicas,periodoncias,2009-01-01,4,4
LA ASUNTA,atenciones odontologicas,periodoncias,2009-01-01,1,1
LA GUARDIA,atenciones odontologicas,periodoncias,2009-01-01,30,30
LA PAZ,atenciones odontologicas,periodoncias,2009-01-01,895,895
LAGUNILLAS,atenciones odontologicas,periodoncias,2009-01-01,8,8
LICOMA PAMPA,atenciones odontologicas,periodoncias,2009-01-01,4,4
LLALLAGUA,atenciones odontologicas,periodoncias,2009-01-01,27,27
LLICA,atenciones odontologicas,periodoncias,2009-01-01,6,6
MACHACAMARCA,atenciones odontologicas,periodoncias,2009-01-01,7,7
MACHARETI,atenciones odontologicas,periodoncias,2009-01-01,2,2
MAGDALENA,atenciones odontologicas,periodoncias,2009-01-01,2,2
MAIRANA,atenciones odontologicas,periodoncias,2009-01-01,28,28
