municipality,group,variable,month,Primeras consultas,TOTAL
ACHACACHI,atenciones odontologicas,primeras consultas,2009-01-01,536,536
ACHOCALLA,atenciones odontologicas,primeras consultas,2009-01-01,25,25
AIQUILE,atenciones odontologicas,primeras consultas,2009-01-01,98,98
ALALAY,atenciones odontologicas,primeras consultas,2009-01-01,7,7
ALCALA,atenciones odontologicas,primeras consultas,2009-01-01,55,55
ANCORAIMES,atenciones odontologicas,primeras consultas,2009-01-01,97,97
ANDAMARCA,atenciones odontologicas,primeras consultas,2009-01-01,12,12
ANTEQUERA,atenciones odontologicas,primeras consultas,2009-01-01,39,39
ANZALDO,atenciones odontologicas,primeras consultas,2009-01-01,69,69
APOLO,atenciones odontologicas,primeras consultas,2009-01-01,18,18
ARAMPAMPA,atenciones odontologicas,primeras consultas,2009-01-01,5,5
ARANI,atenciones odontologicas,primeras consultas,2009-01-01,184,184
ARBIETO,atenciones odontologicas,primeras consultas,2009-01-01,70,70
ARQUE,atenciones odontologicas,primeras consultas,2009-01-01,21,21
ASCENCION DE GUARAYOS,atenciones odontologicas,primeras consultas,2009-01-01,131,131
ATOCHA,atenciones odontologicas,primeras consultas,2009-01-01,8,8
AYATA,atenciones odontologicas,primeras consultas,2009-01-01,119,119
AYO AYO,atenciones odontologicas,primeras consultas,2009-01-01,16,16
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,primeras consultas,2009-01-01,257,257
BATALLAS,atenciones odontologicas,primeras consultas,2009-01-01,130,130
BELEN DE URMIRI,atenciones odontologicas,primeras consultas,2009-01-01,12,12
BERMEJO,atenciones odontologicas,primeras consultas,2009-01-01,475,475
BETANZOS,atenciones odontologicas,primeras consultas,2009-01-01,61,61
BOLIVAR,atenciones odontologicas,primeras consultas,2009-01-01,37,37
BOLPEBRA,atenciones odontologicas,primeras consultas,2009-01-01,49,49
BOYUIBE,atenciones odontologicas,primeras consultas,2009-01-01,154,154
BUENA VISTA,atenciones odontologicas,primeras consultas,2009-01-01,83,83
CABEZAS,atenciones odontologicas,primeras consultas,2009-01-01,143,143
CAIROMA,atenciones odontologicas,primeras consultas,2009-01-01,252,252
"CAIZA ""D""",atenciones odontologicas,primeras consultas,2009-01-01,59,59
CAJUATA,atenciones odontologicas,primeras consultas,2009-01-01,21,21
CALACOTO,atenciones odontologicas,primeras consultas,2009-01-01,56,56
CALAMARCA,atenciones odontologicas,primeras consultas,2009-01-01,188,188
CAMARGO,atenciones odontologicas,primeras consultas,2009-01-01,514,514
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,primeras consultas,2009-01-01,49,49
CAMIRI,atenciones odontologicas,primeras consultas,2009-01-01,570,570
CAPINOTA,atenciones odontologicas,primeras consultas,2009-01-01,318,318
CAQUIAVIRI,atenciones odontologicas,primeras consultas,2009-01-01,90,90
CARACOLLO,atenciones odontologicas,primeras consultas,2009-01-01,167,167
CARANAVI,atenciones odontologicas,primeras consultas,2009-01-01,159,159
CARAPARI,atenciones odontologicas,primeras consultas,2009-01-01,255,255
CARIPUYO,atenciones odontologicas,primeras consultas,2009-01-01,23,23
CARMEN RIVERO TORREZ,atenciones odontologicas,primeras consultas,2009-01-01,13,13
CATACORA,atenciones odontologicas,primeras consultas,2009-01-01,11,11
CHALLAPATA,atenciones odontologicas,primeras consultas,2009-01-01,243,243
CHAQUI,atenciones odontologicas,primeras consultas,2009-01-01,20,20
CHARAGUA,atenciones odontologicas,primeras consultas,2009-01-01,304,304
CHAYANTA,atenciones odontologicas,primeras consultas,2009-01-01,140,140
CHIMORE,atenciones odontologicas,primeras consultas,2009-01-01,83,83
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,primeras consultas,2009-01-01,172,172
CHUMA,atenciones odontologicas,primeras consultas,2009-01-01,155,155
CLIZA,atenciones odontologicas,primeras consultas,2009-01-01,64,64
COBIJA,atenciones odontologicas,primeras consultas,2009-01-01,684,684
COCHABAMBA,atenciones odontologicas,primeras consultas,2009-01-01,5641,5641
COLCAPIRHUA,atenciones odontologicas,primeras consultas,2009-01-01,175,175
COLLANA,atenciones odontologicas,primeras consultas,2009-01-01,107,107
COLOMI,atenciones odontologicas,primeras consultas,2009-01-01,163,163
COLPA BELGICA,atenciones odontologicas,primeras consultas,2009-01-01,113,113
COLQUECHACA,atenciones odontologicas,primeras consultas,2009-01-01,145,145
COLQUENCHA,atenciones odontologicas,primeras consultas,2009-01-01,89,89
COLQUIRI,atenciones odontologicas,primeras consultas,2009-01-01,14,14
COMANCHE,atenciones odontologicas,primeras consultas,2009-01-01,18,18
COMARAPA,atenciones odontologicas,primeras consultas,2009-01-01,66,66
COMBAYA,atenciones odontologicas,primeras consultas,2009-01-01,52,52
CONCEPCION,atenciones odontologicas,primeras consultas,2009-01-01,66,66
COPACABANA,atenciones odontologicas,primeras consultas,2009-01-01,78,78
CORIPATA,atenciones odontologicas,primeras consultas,2009-01-01,113,113
CORO CORO,atenciones odontologicas,primeras consultas,2009-01-01,41,41
COROICO,atenciones odontologicas,primeras consultas,2009-01-01,411,411
COTAGAITA,atenciones odontologicas,primeras consultas,2009-01-01,323,323
COTOCA,atenciones odontologicas,primeras consultas,2009-01-01,90,90
CUATRO CAÑADAS,atenciones odontologicas,primeras consultas,2009-01-01,166,166
CUCHUMUELA (V. G. VILLARROEL),atenciones odontologicas,primeras consultas,2009-01-01,7,7
CUEVO,atenciones odontologicas,primeras consultas,2009-01-01,84,84
CULPINA,atenciones odontologicas,primeras consultas,2009-01-01,48,48
CURAHUARA DE CARANGAS,atenciones odontologicas,primeras consultas,2009-01-01,7,7
CURVA,atenciones odontologicas,primeras consultas,2009-01-01,36,36
DESAGUADERO,atenciones odontologicas,primeras consultas,2009-01-01,4,4
EL ALTO,atenciones odontologicas,primeras consultas,2009-01-01,4859,4859
EL PUENTE(STC),atenciones odontologicas,primeras consultas,2009-01-01,54,54
EL PUENTE(TJA),atenciones odontologicas,primeras consultas,2009-01-01,188,188
EL TORNO,atenciones odontologicas,primeras consultas,2009-01-01,53,53
EL VILLAR,atenciones odontologicas,primeras consultas,2009-01-01,27,27
ENTRE RIOS,atenciones odontologicas,primeras consultas,2009-01-01,433,433
ENTRE RIOS,atenciones odontologicas,primeras consultas,2009-01-01,104,104
EUCALIPTUS,atenciones odontologicas,primeras consultas,2009-01-01,67,67
FERNANDEZ ALONSO,atenciones odontologicas,primeras consultas,2009-01-01,101,101
FILADELFIA,atenciones odontologicas,primeras consultas,2009-01-01,68,68
GENERAL SAAVEDRA,atenciones odontologicas,primeras consultas,2009-01-01,92,92
GRAL. J.J. PEREZ (CHARAZANI),atenciones odontologicas,primeras consultas,2009-01-01,43,43
GUANAY,atenciones odontologicas,primeras consultas,2009-01-01,99,99
GUAQUI,atenciones odontologicas,primeras consultas,2009-01-01,158,158
GUAYARAMERIN,atenciones odontologicas,primeras consultas,2009-01-01,470,470
GUTIERREZ,atenciones odontologicas,primeras consultas,2009-01-01,176,176
HUACHACALLA,atenciones odontologicas,primeras consultas,2009-01-01,44,44
HUANUNI,atenciones odontologicas,primeras consultas,2009-01-01,178,178
HUARACAJE,atenciones odontologicas,primeras consultas,2009-01-01,2,2
HUAYLLAMARCA,atenciones odontologicas,primeras consultas,2009-01-01,35,35
ICLA,atenciones odontologicas,primeras consultas,2009-01-01,317,317
INCAHUASI,atenciones odontologicas,primeras consultas,2009-01-01,214,214
INQUISIVI,atenciones odontologicas,primeras consultas,2009-01-01,55,55
IRUPANA (VILLA DE LANZA),atenciones odontologicas,primeras consultas,2009-01-01,273,273
IXIAMAS,atenciones odontologicas,primeras consultas,2009-01-01,134,134
JESUS DE MACHACA,atenciones odontologicas,primeras consultas,2009-01-01,34,34
LA ASUNTA,atenciones odontologicas,primeras consultas,2009-01-01,132,132
LA GUARDIA,atenciones odontologicas,primeras consultas,2009-01-01,509,509
LA PAZ,atenciones odontologicas,primeras consultas,2009-01-01,9360,9360
LAGUNILLAS,atenciones odontologicas,primeras consultas,2009-01-01,98,98
LAJA,atenciones odontologicas,primeras consultas,2009-01-01,209,209
LAS CARRERAS,atenciones odontologicas,primeras consultas,2009-01-01,33,33
LICOMA PAMPA,atenciones odontologicas,primeras consultas,2009-01-01,52,52
LLALLAGUA,atenciones odontologicas,primeras consultas,2009-01-01,299,299
LLICA,atenciones odontologicas,primeras consultas,2009-01-01,37,37
LORETO,atenciones odontologicas,primeras consultas,2009-01-01,2,2
LURIBAY,atenciones odontologicas,primeras consultas,2009-01-01,59,59
MACHACAMARCA,atenciones odontologicas,primeras consultas,2009-01-01,34,34
MACHARETI,atenciones odontologicas,primeras consultas,2009-01-01,83,83
MAGDALENA,atenciones odontologicas,primeras consultas,2009-01-01,47,47
MAIRANA,atenciones odontologicas,primeras consultas,2009-01-01,115,115
MAPIRI,atenciones odontologicas,primeras consultas,2009-01-01,57,57
MECAPACA,atenciones odontologicas,primeras consultas,2009-01-01,67,67
MINEROS,atenciones odontologicas,primeras consultas,2009-01-01,185,185
MIZQUE,atenciones odontologicas,primeras consultas,2009-01-01,178,178
MOCOMOCO,atenciones odontologicas,primeras consultas,2009-01-01,72,72
MOJOCOYA,atenciones odontologicas,primeras consultas,2009-01-01,57,57
MONTEAGUDO,atenciones odontologicas,primeras consultas,2009-01-01,114,114
MONTERO,atenciones odontologicas,primeras consultas,2009-01-01,472,472
MORO MORO,atenciones odontologicas,primeras consultas,2009-01-01,54,54
MOROCHATA,atenciones odontologicas,primeras consultas,2009-01-01,96,96
OCURI,atenciones odontologicas,primeras consultas,2009-01-01,72,72
OKINAWA,atenciones odontologicas,primeras consultas,2009-01-01,29,29
ORURO,atenciones odontologicas,primeras consultas,2009-01-01,2420,2420
PADCAYA,atenciones odontologicas,primeras consultas,2009-01-01,524,524
PADILLA,atenciones odontologicas,primeras consultas,2009-01-01,101,101
PAILON,atenciones odontologicas,primeras consultas,2009-01-01,192,192
PALCA,atenciones odontologicas,primeras consultas,2009-01-01,52,52
PALOS BLANCOS,atenciones odontologicas,primeras consultas,2009-01-01,160,160
PAMPA AULLAGAS,atenciones odontologicas,primeras consultas,2009-01-01,45,45
PAMPA GRANDE,atenciones odontologicas,primeras consultas,2009-01-01,65,65
PASORAPA,atenciones odontologicas,primeras consultas,2009-01-01,33,33
PAZÑA,atenciones odontologicas,primeras consultas,2009-01-01,53,53
PELECHUCO,atenciones odontologicas,primeras consultas,2009-01-01,34,34
POCOATA,atenciones odontologicas,primeras consultas,2009-01-01,228,228
POCONA,atenciones odontologicas,primeras consultas,2009-01-01,55,55
POJO (CBBA),atenciones odontologicas,primeras consultas,2009-01-01,158,158
POOPO,atenciones odontologicas,primeras consultas,2009-01-01,34,34
PORCO,atenciones odontologicas,primeras consultas,2009-01-01,98,98
POROMA,atenciones odontologicas,primeras consultas,2009-01-01,68,68
PORONGO,atenciones odontologicas,primeras consultas,2009-01-01,185,185
PORTACHUELO,atenciones odontologicas,primeras consultas,2009-01-01,109,109
PORVENIR,atenciones odontologicas,primeras consultas,2009-01-01,85,85
POSTRER VALLE,atenciones odontologicas,primeras consultas,2009-01-01,49,49
POTOSI,atenciones odontologicas,primeras consultas,2009-01-01,2360,2360
PRESTO,atenciones odontologicas,primeras consultas,2009-01-01,66,66
PUCARA,atenciones odontologicas,primeras consultas,2009-01-01,30,30
PUCARANI,atenciones odontologicas,primeras consultas,2009-01-01,120,120
PUERTO ACOSTA,atenciones odontologicas,primeras consultas,2009-01-01,122,122
PUERTO CARABUCO,atenciones odontologicas,primeras consultas,2009-01-01,88,88
PUERTO GONZALO MORENO,atenciones odontologicas,primeras consultas,2009-01-01,119,119
PUERTO PEREZ,atenciones odontologicas,primeras consultas,2009-01-01,43,43
PUERTO QUIJARRO,atenciones odontologicas,primeras consultas,2009-01-01,88,88
PUERTO RICO,atenciones odontologicas,primeras consultas,2009-01-01,52,52
PUERTO SUAREZ,atenciones odontologicas,primeras consultas,2009-01-01,115,115
PUERTO VILLARROEL,atenciones odontologicas,primeras consultas,2009-01-01,158,158
PUNA,atenciones odontologicas,primeras consultas,2009-01-01,214,214
PUNATA,atenciones odontologicas,primeras consultas,2009-01-01,471,471
QUILLACOLLO,atenciones odontologicas,primeras consultas,2009-01-01,832,832
QUIME,atenciones odontologicas,primeras consultas,2009-01-01,96,96
QUIRUSILLAS,atenciones odontologicas,primeras consultas,2009-01-01,49,49
REYES,atenciones odontologicas,primeras consultas,2009-01-01,55,55
RIBERALTA,atenciones odontologicas,primeras consultas,2009-01-01,393,393
RURRENABAQUE,atenciones odontologicas,primeras consultas,2009-01-01,59,59
SABAYA,atenciones odontologicas,primeras consultas,2009-01-01,30,30
SACABA,atenciones odontologicas,primeras consultas,2009-01-01,761,761
SACABAMBA,atenciones odontologicas,primeras consultas,2009-01-01,31,31
SACACA,atenciones odontologicas,primeras consultas,2009-01-01,117,117
SAIPINA,atenciones odontologicas,primeras consultas,2009-01-01,63,63
SALINAS DE GARCI MENDOZA,atenciones odontologicas,primeras consultas,2009-01-01,79,79
SAMAIPATA,atenciones odontologicas,primeras consultas,2009-01-01,8,8
SAN AGUSTIN,atenciones odontologicas,primeras consultas,2009-01-01,24,24
SAN ANDRES,atenciones odontologicas,primeras consultas,2009-01-01,47,47
SAN ANDRES DE MACHACA,atenciones odontologicas,primeras consultas,2009-01-01,35,35
SAN ANTONIO DE LOMERIO,atenciones odontologicas,primeras consultas,2009-01-01,44,44
SAN BENITO,atenciones odontologicas,primeras consultas,2009-01-01,10,10
SAN BORJA,atenciones odontologicas,primeras consultas,2009-01-01,251,251
SAN BUENA VENTURA,atenciones odontologicas,primeras consultas,2009-01-01,118,118
SAN CARLOS,atenciones odontologicas,primeras consultas,2009-01-01,158,158
SAN IGNACIO,atenciones odontologicas,primeras consultas,2009-01-01,518,518
SAN IGNACIO DE VELASCO,atenciones odontologicas,primeras consultas,2009-01-01,442,442
SAN JAVIER(BNI),atenciones odontologicas,primeras consultas,2009-01-01,28,28
SAN JAVIER(STC),atenciones odontologicas,primeras consultas,2009-01-01,44,44
SAN JOAQUIN,atenciones odontologicas,primeras consultas,2009-01-01,10,10
SAN JOSE DE CHIQUITOS,atenciones odontologicas,primeras consultas,2009-01-01,109,109
SAN JUAN DE YAPACANI,atenciones odontologicas,primeras consultas,2009-01-01,136,136
SAN LORENZO(PND),atenciones odontologicas,primeras consultas,2009-01-01,69,69
SAN LORENZO(TJA),atenciones odontologicas,primeras consultas,2009-01-01,223,223
SAN LUCAS,atenciones odontologicas,primeras consultas,2009-01-01,106,106
SAN MATIAS,atenciones odontologicas,primeras consultas,2009-01-01,196,196
SAN MIGUEL DE VELASCO,atenciones odontologicas,primeras consultas,2009-01-01,101,101
SAN PEDRO,atenciones odontologicas,primeras consultas,2009-01-01,38,38
SAN PEDRO DE BUENA VISTA,atenciones odontologicas,primeras consultas,2009-01-01,137,137
SAN PEDRO DE CURAHUARA,atenciones odontologicas,primeras consultas,2009-01-01,28,28
SAN PEDRO DE TIQUINA,atenciones odontologicas,primeras consultas,2009-01-01,64,64
SAN RAFAEL,atenciones odontologicas,primeras consultas,2009-01-01,76,76
SAN RAMON,atenciones odontologicas,primeras consultas,2009-01-01,64,64
SAN RAMON,atenciones odontologicas,primeras consultas,2009-01-01,172,172
SANTA ANA,atenciones odontologicas,primeras consultas,2009-01-01,94,94
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,primeras consultas,2009-01-01,8134,8134
SANTA ROSA,atenciones odontologicas,primeras consultas,2009-01-01,168,168
SANTA ROSA DEL SARA,atenciones odontologicas,primeras consultas,2009-01-01,194,194
SANTIAGO DE HUARI,atenciones odontologicas,primeras consultas,2009-01-01,48,48
SANTIAGO DE MACHACA,atenciones odontologicas,primeras consultas,2009-01-01,20,20
SANTIVAÑES,atenciones odontologicas,primeras consultas,2009-01-01,118,118
SANTUARIO DE QUILLACAS,atenciones odontologicas,primeras consultas,2009-01-01,66,66
