municipality,group,variable,month,Endodoncias,TOTAL
ACHACACHI,atenciones odontologicas,endodoncias,2009-01-01,13,13
ACHOCALLA,atenciones odontologicas,endodoncias,2009-01-01,15,15
AIQUILE,atenciones odontologicas,endodoncias,2009-01-01,23,23
ALCALA,atenciones odontologicas,endodoncias,2009-01-01,2,2
ANDAMARCA,atenciones odontologicas,endodoncias,2009-01-01,1,1
ANTEQUERA,atenciones odontologicas,endodoncias,2009-01-01,4,4
ANZALDO,atenciones odontologicas,endodoncias,2009-01-01,9,9
ARANI,atenciones odontologicas,endodoncias,2009-01-01,28,28
ARBIETO,atenciones odontologicas,endodoncias,2009-01-01,32,32
ASCENCION DE GUARAYOS,atenciones odontologicas,endodoncias,2009-01-01,9,9
ATOCHA,atenciones odontologicas,endodoncias,2009-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,endodoncias,2009-01-01,30,30
BATALLAS,atenciones odontologicas,endodoncias,2009-01-01,3,3
BAURES,atenciones odontologicas,endodoncias,2009-01-01,24,24
BERMEJO,atenciones odontologicas,endodoncias,2009-01-01,113,113
BETANZOS,atenciones odontologicas,endodoncias,2009-01-01,4,4
BOLIVAR,atenciones odontologicas,endodoncias,2009-01-01,15,15
BOYUIBE,atenciones odontologicas,endodoncias,2009-01-01,9,9
CABEZAS,atenciones odontologicas,endodoncias,2009-01-01,3,3
CAIROMA,atenciones odontologicas,endodoncias,2009-01-01,11,11
CAJUATA,atenciones odontologicas,endodoncias,2009-01-01,2,2
CALAMARCA,atenciones odontologicas,endodoncias,2009-01-01,42,42
CAMARGO,atenciones odontologicas,endodoncias,2009-01-01,29,29
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,endodoncias,2009-01-01,5,5
CAMIRI,atenciones odontologicas,endodoncias,2009-01-01,159,159
CAPINOTA,atenciones odontologicas,endodoncias,2009-01-01,89,89
CAQUIAVIRI,atenciones odontologicas,endodoncias,2009-01-01,17,17
CARACOLLO,atenciones odontologicas,endodoncias,2009-01-01,20,20
CARANAVI,atenciones odontologicas,endodoncias,2009-01-01,18,18
CARAPARI,atenciones odontologicas,endodoncias,2009-01-01,77,77
CARMEN RIVERO TORREZ,atenciones odontologicas,endodoncias,2009-01-01,1,1
CATACORA,atenciones odontologicas,endodoncias,2009-01-01,26,26
CHALLAPATA,atenciones odontologicas,endodoncias,2009-01-01,11,11
CHAQUI,atenciones odontologicas,endodoncias,2009-01-01,5,5
CHARAGUA,atenciones odontologicas,endodoncias,2009-01-01,3,3
CHAYANTA,atenciones odontologicas,endodoncias,2009-01-01,21,21
CHIMORE,atenciones odontologicas,endodoncias,2009-01-01,6,6
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,endodoncias,2009-01-01,16,16
CLIZA,atenciones odontologicas,endodoncias,2009-01-01,52,52
COBIJA,atenciones odontologicas,endodoncias,2009-01-01,55,55
COCHABAMBA,atenciones odontologicas,endodoncias,2009-01-01,1569,1569
COLCAPIRHUA,atenciones odontologicas,endodoncias,2009-01-01,78,78
COLOMI,atenciones odontologicas,endodoncias,2009-01-01,6,6
COLPA BELGICA,atenciones odontologicas,endodoncias,2009-01-01,9,9
COLQUECHACA,atenciones odontologicas,endodoncias,2009-01-01,12,12
COMARAPA,atenciones odontologicas,endodoncias,2009-01-01,37,37
CONCEPCION,atenciones odontologicas,endodoncias,2009-01-01,4,4
COPACABANA,atenciones odontologicas,endodoncias,2009-01-01,1,1
COROICO,atenciones odontologicas,endodoncias,2009-01-01,57,57
COTAGAITA,atenciones odontologicas,endodoncias,2009-01-01,14,14
CUATRO CAÑADAS,atenciones odontologicas,endodoncias,2009-01-01,6,6
CUEVO,atenciones odontologicas,endodoncias,2009-01-01,4,4
CULPINA,atenciones odontologicas,endodoncias,2009-01-01,1,1
CURAHUARA DE CARANGAS,atenciones odontologicas,endodoncias,2009-01-01,3,3
EL ALTO,atenciones odontologicas,endodoncias,2009-01-01,1300,1300
EL PUENTE(STC),atenciones odontologicas,endodoncias,2009-01-01,4,4
EL PUENTE(TJA),atenciones odontologicas,endodoncias,2009-01-01,5,5
EL TORNO,atenciones odontologicas,endodoncias,2009-01-01,6,6
EL VILLAR,atenciones odontologicas,endodoncias,2009-01-01,4,4
ENTRE RIOS,atenciones odontologicas,endodoncias,2009-01-01,26,26
ENTRE RIOS,atenciones odontologicas,endodoncias,2009-01-01,28,28
EUCALIPTUS,atenciones odontologicas,endodoncias,2009-01-01,2,2
FERNANDEZ ALONSO,atenciones odontologicas,endodoncias,2009-01-01,10,10
FILADELFIA,atenciones odontologicas,endodoncias,2009-01-01,1,1
GENERAL SAAVEDRA,atenciones odontologicas,endodoncias,2009-01-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),atenciones odontologicas,endodoncias,2009-01-01,6,6
GUANAY,atenciones odontologicas,endodoncias,2009-01-01,17,17
GUAQUI,atenciones odontologicas,endodoncias,2009-01-01,1,1
GUAYARAMERIN,atenciones odontologicas,endodoncias,2009-01-01,120,120
GUTIERREZ,atenciones odontologicas,endodoncias,2009-01-01,32,32
HUACARETA,atenciones odontologicas,endodoncias,2009-01-01,14,14
HUACHACALLA,atenciones odontologicas,endodoncias,2009-01-01,1,1
HUANUNI,atenciones odontologicas,endodoncias,2009-01-01,20,20
HUARACAJE,atenciones odontologicas,endodoncias,2009-01-01,2,2
ICLA,atenciones odontologicas,endodoncias,2009-01-01,4,4
INCAHUASI,atenciones odontologicas,endodoncias,2009-01-01,7,7
IRUPANA (VILLA DE LANZA),atenciones odontologicas,endodoncias,2009-01-01,7,7
IXIAMAS,atenciones odontologicas,endodoncias,2009-01-01,1,1
LA ASUNTA,atenciones odontologicas,endodoncias,2009-01-01,6,6
LA GUARDIA,atenciones odontologicas,endodoncias,2009-01-01,34,34
LA PAZ,atenciones odontologicas,endodoncias,2009-01-01,1840,1840
LAGUNILLAS,atenciones odontologicas,endodoncias,2009-01-01,14,14
LAJA,atenciones odontologicas,endodoncias,2009-01-01,10,10
LAS CARRERAS,atenciones odontologicas,endodoncias,2009-01-01,1,1
LICOMA PAMPA,atenciones odontologicas,endodoncias,2009-01-01,5,5
LLALLAGUA,atenciones odontologicas,endodoncias,2009-01-01,62,62
MACHACAMARCA,atenciones odontologicas,endodoncias,2009-01-01,20,20
MAGDALENA,atenciones odontologicas,endodoncias,2009-01-01,9,9
MAIRANA,atenciones odontologicas,endodoncias,2009-01-01,3,3
MAPIRI,atenciones odontologicas,endodoncias,2009-01-01,19,19
MINEROS,atenciones odontologicas,endodoncias,2009-01-01,14,14
MIZQUE,atenciones odontologicas,endodoncias,2009-01-01,18,18
MONTEAGUDO,atenciones odontologicas,endodoncias,2009-01-01,51,51
MONTERO,atenciones odontologicas,endodoncias,2009-01-01,74,74
MOROCHATA,atenciones odontologicas,endodoncias,2009-01-01,11,11
