municipality,group,variable,month,Consultas repetidas en menores de 5 años,TOTAL
ACHACACHI,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,16,16
AIQUILE,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,52,52
ALALAY,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,16,16
ANDAMARCA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,3,3
ANTEQUERA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,1,1
ARANI,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,7,7
ARBIETO,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,77,77
ASCENCION DE GUARAYOS,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,5,5
AYO AYO,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,28,28
BATALLAS,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,1,1
BAURES,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,1,1
BERMEJO,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,18,18
BUENA VISTA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,1,1
CABEZAS,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,21,21
CAIROMA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,5,5
"CAIZA ""D""",atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,2,2
CALAMARCA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,52,52
CAMARGO,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,77,77
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,1,1
CAMIRI,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,63,63
CAPINOTA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,49,49
CAQUIAVIRI,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,1,1
CARACOLLO,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,12,12
CARANAVI,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,25,25
CARAPARI,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,4,4
CARIPUYO,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,2,2
CARMEN RIVERO TORREZ,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,10,10
CHALLAPATA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,9,9
CHAQUI,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,6,6
CHARAGUA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,3,3
CHAYANTA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,57,57
CHIMORE,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,4,4
CHUMA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,1,1
CLIZA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,58,58
COBIJA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,25,25
COCHABAMBA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,1533,1533
COLCAPIRHUA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,57,57
COLLANA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,1,1
COLOMI,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,98,98
COLPA BELGICA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,5,5
COLQUECHACA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,82,82
COLQUENCHA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,1,1
COLQUIRI,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,42,42
COMARAPA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,12,12
COPACABANA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2009-01-01,1,1
