municipality,group,variable,month,l 3.13 Nº de actividades de educación en Salud Oral,TOTAL
ACHACACHI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,8,8
ACHOCALLA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,24,24
AIQUILE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,13,13
ALCALA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,16,16
ALTO BENI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,1,1
ANCORAIMES,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,2,2
ANDAMARCA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,8,8
ANTEQUERA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,1,1
ANZALDO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,9,9
APOLO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,1,1
ARANI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,7,7
ARBIETO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,5,5
ARQUE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,8,8
ASCENCION DE GUARAYOS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,6,6
AYATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,3,3
AYO AYO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,16,16
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,6,6
BATALLAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,1,1
BAURES,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,1,1
BELLA FLOR,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,1,1
BERMEJO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,15,15
BETANZOS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,4,4
BOLIVAR,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,12,12
BOLPEBRA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,5,5
BOYUIBE,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,6,6
CABEZAS,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,41,41
CAIROMA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,10,10
"CAIZA ""D""",atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,5,5
CAJUATA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,6,6
CALACOTO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,3,3
CALAMARCA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,9,9
CAMARGO,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,26,26
CAMIRI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,11,11
CAPINOTA,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,4,4
CAQUIAVIRI,atencion odontologica no de actividades,l 3.13       no de actividades de educacion en salud oral,2012-01-01,2,2
