municipality,group,variable,month,Nacidos vivos con peso menor a 2500g,TOTAL
ALCALA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,1,1
APOLO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,2,2
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,8,8
BERMEJO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,1,1
BETANZOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,1,1
CAMARGO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,5,5
CAMIRI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,4,4
CAPINOTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,1,1
CARANAVI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,4,4
CHALLAPATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,1,1
CHARAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,1,1
CLIZA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,2,2
COBIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,8,8
COCHABAMBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,102,102
COLOMI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,2,2
COMARAPA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,1,1
COROICO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,1,1
COTOCA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,1,1
EL ALTO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,56,56
EL PUENTE(TJA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,1,1
EL TORNO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,1,1
ENTRE RIOS CBBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,4,4
GUANAY,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,2,2
GUAYARAMERIN,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,8,8
HUARINA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,1,1
LA GUARDIA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,1,1
LA PAZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,134,134
LLALLAGUA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,6,6
LURIBAY,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,1,1
MAGDALENA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,1,1
MAIRANA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,1,1
MINEROS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,1,1
MONTEAGUDO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,1,1
MONTERO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,15,15
OCURI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,2,2
ORURO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,37,37
PADCAYA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,2,2
PADILLA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,1,1
PATACAMAYA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,1,1
POOPO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,2,2
POROMA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,2,2
PORTACHUELO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,1,1
POTOSI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,33,33
PRESTO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,1,1
PUERTO SUAREZ,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,2,2
PUERTO VILLARROEL,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,3,3
PUNATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,8,8
QUILLACOLLO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,3,3
RIBERALTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,10,10
RURRENABAQUE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,3,3
SACABA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,4,4
SACACA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,1,1
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,1,1
SAN BORJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,3,3
SAN BUENA VENTURA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,2,2
SAN IGNACIO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,8,8
SAN JAVIER(STC),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,1,1
SAN JULIAN,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,3,3
SAN LUCAS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,4,4
SAN PEDRO DE QUEMES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,1,1
SANTA ANA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,143,143
SANTA ROSA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,2,2
SHINAOTA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,2,2
SICA SICA (VILLA AROMA),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,2,2
SOPACHUY,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,1,1
SUCRE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,22,22
TARIJA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,21,21
TARVITA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,3,3
TOLATA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,1,1
TRINIDAD,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,15,15
TUPIZA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,5,5
URIONDO (A. CONCEPCION),atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,8,8
UYUNI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,2,2
VALLEGRANDE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,1,1
VILLA MONTES,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,3,3
VILLA SERRANO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,1,1
VILLAZON,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,2,2
VINTO,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,7,7
VITICHI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,1,1
YACUIBA,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-01-01,3,3
ARANI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-02-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-02-01,3,3
BELEN DE URMIRI,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-02-01,1,1
BOYUIBE,atencion de partos en servicios,nacidos vivos con peso menor a 2500g,2011-02-01,1,1
