municipality,group,variable,month,Vaginales,TOTAL
ACACIO,atencion de partos en servicio,vaginales,2007-01-01,6,6
ACHACACHI,atencion de partos en servicio,vaginales,2007-01-01,25,25
ACHOCALLA,atencion de partos en servicio,vaginales,2007-01-01,6,6
AIQUILE,atencion de partos en servicio,vaginales,2007-01-01,30,30
ALCALA,atencion de partos en servicio,vaginales,2007-01-01,6,6
ANCORAIMES,atencion de partos en servicio,vaginales,2007-01-01,5,5
ANDAMARCA,atencion de partos en servicio,vaginales,2007-01-01,1,1
ANZALDO,atencion de partos en servicio,vaginales,2007-01-01,4,4
APOLO,atencion de partos en servicio,vaginales,2007-01-01,10,10
ARAMPAMPA,atencion de partos en servicio,vaginales,2007-01-01,1,1
ARANI,atencion de partos en servicio,vaginales,2007-01-01,3,3
ARBIETO,atencion de partos en servicio,vaginales,2007-01-01,1,1
ARQUE,atencion de partos en servicio,vaginales,2007-01-01,6,6
ASCENCION DE GUARAYOS,atencion de partos en servicio,vaginales,2007-01-01,47,47
ATOCHA,atencion de partos en servicio,vaginales,2007-01-01,15,15
AYO AYO,atencion de partos en servicio,vaginales,2007-01-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicio,vaginales,2007-01-01,22,22
AZURDUY,atencion de partos en servicio,vaginales,2007-01-01,12,12
BATALLAS,atencion de partos en servicio,vaginales,2007-01-01,8,8
BAURES,atencion de partos en servicio,vaginales,2007-01-01,4,4
BELLA FLOR,atencion de partos en servicio,vaginales,2007-01-01,1,1
BERMEJO,atencion de partos en servicio,vaginales,2007-01-01,25,25
BETANZOS,atencion de partos en servicio,vaginales,2007-01-01,17,17
BOYUIBE,atencion de partos en servicio,vaginales,2007-01-01,4,4
BUENA VISTA,atencion de partos en servicio,vaginales,2007-01-01,16,16
CABEZAS,atencion de partos en servicio,vaginales,2007-01-01,21,21
CAIROMA,atencion de partos en servicio,vaginales,2007-01-01,4,4
"CAIZA ""D""",atencion de partos en servicio,vaginales,2007-01-01,5,5
CAJUATA,atencion de partos en servicio,vaginales,2007-01-01,3,3
CALAMARCA,atencion de partos en servicio,vaginales,2007-01-01,6,6
CAMARGO,atencion de partos en servicio,vaginales,2007-01-01,16,16
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicio,vaginales,2007-01-01,4,4
CAMIRI,atencion de partos en servicio,vaginales,2007-01-01,33,33
CAPINOTA,atencion de partos en servicio,vaginales,2007-01-01,20,20
CARACOLLO,atencion de partos en servicio,vaginales,2007-01-01,19,19
CARANAVI,atencion de partos en servicio,vaginales,2007-01-01,64,64
CARAPARI,atencion de partos en servicio,vaginales,2007-01-01,5,5
CARMEN RIVERO TORREZ,atencion de partos en servicio,vaginales,2007-01-01,4,4
CHALLAPATA,atencion de partos en servicio,vaginales,2007-01-01,30,30
CHAQUI,atencion de partos en servicio,vaginales,2007-01-01,4,4
CHARAGUA,atencion de partos en servicio,vaginales,2007-01-01,45,45
CHARAÑA,atencion de partos en servicio,vaginales,2007-01-01,4,4
CHAYANTA,atencion de partos en servicio,vaginales,2007-01-01,13,13
CHIMORE,atencion de partos en servicio,vaginales,2007-01-01,14,14
CHIPAYA,atencion de partos en servicio,vaginales,2007-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicio,vaginales,2007-01-01,19,19
CHUMA,atencion de partos en servicio,vaginales,2007-01-01,2,2
CLIZA,atencion de partos en servicio,vaginales,2007-01-01,16,16
COBIJA,atencion de partos en servicio,vaginales,2007-01-01,60,60
COCHABAMBA,atencion de partos en servicio,vaginales,2007-01-01,750,750
COLCAPIRHUA,atencion de partos en servicio,vaginales,2007-01-01,13,13
"COLCHA ""K""",atencion de partos en servicio,vaginales,2007-01-01,4,4
COLLANA,atencion de partos en servicio,vaginales,2007-01-01,2,2
COLOMI,atencion de partos en servicio,vaginales,2007-01-01,27,27
COLPA BELGICA,atencion de partos en servicio,vaginales,2007-01-01,2,2
COLQUECHACA,atencion de partos en servicio,vaginales,2007-01-01,13,13
COLQUENCHA,atencion de partos en servicio,vaginales,2007-01-01,1,1
COLQUIRI,atencion de partos en servicio,vaginales,2007-01-01,2,2
COMARAPA,atencion de partos en servicio,vaginales,2007-01-01,25,25
CONCEPCION,atencion de partos en servicio,vaginales,2007-01-01,20,20
COPACABANA,atencion de partos en servicio,vaginales,2007-01-01,7,7
CORIPATA,atencion de partos en servicio,vaginales,2007-01-01,9,9
CORO CORO,atencion de partos en servicio,vaginales,2007-01-01,4,4
COROICO,atencion de partos en servicio,vaginales,2007-01-01,14,14
COTAGAITA,atencion de partos en servicio,vaginales,2007-01-01,18,18
COTOCA,atencion de partos en servicio,vaginales,2007-01-01,56,56
CUATRO CAÑADAS,atencion de partos en servicio,vaginales,2007-01-01,17,17
CUCHUMUELA (V. G. VILLARROEL),atencion de partos en servicio,vaginales,2007-01-01,2,2
CUEVO,atencion de partos en servicio,vaginales,2007-01-01,1,1
CULPINA,atencion de partos en servicio,vaginales,2007-01-01,23,23
CURAHUARA DE CARANGAS,atencion de partos en servicio,vaginales,2007-01-01,2,2
DESAGUADERO,atencion de partos en servicio,vaginales,2007-01-01,9,9
EL ALTO,atencion de partos en servicio,vaginales,2007-01-01,867,867
EL PUENTE(STC),atencion de partos en servicio,vaginales,2007-01-01,6,6
EL PUENTE(TJA),atencion de partos en servicio,vaginales,2007-01-01,5,5
EL TORNO,atencion de partos en servicio,vaginales,2007-01-01,52,52
EL VILLAR,atencion de partos en servicio,vaginales,2007-01-01,5,5
ENTRE RIOS,atencion de partos en servicio,vaginales,2007-01-01,16,16
ENTRE RIOS,atencion de partos en servicio,vaginales,2007-01-01,20,20
EUCALIPTUS,atencion de partos en servicio,vaginales,2007-01-01,8,8
EXALTACION,atencion de partos en servicio,vaginales,2007-01-01,2,2
FERNANDEZ ALONSO,atencion de partos en servicio,vaginales,2007-01-01,22,22
GENERAL SAAVEDRA,atencion de partos en servicio,vaginales,2007-01-01,22,22
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicio,vaginales,2007-01-01,1,1
GUANAY,atencion de partos en servicio,vaginales,2007-01-01,7,7
GUAQUI,atencion de partos en servicio,vaginales,2007-01-01,4,4
GUAYARAMERIN,atencion de partos en servicio,vaginales,2007-01-01,62,62
GUTIERREZ,atencion de partos en servicio,vaginales,2007-01-01,10,10
HUACARETA,atencion de partos en servicio,vaginales,2007-01-01,14,14
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicio,vaginales,2007-01-01,2,2
HUANUNI,atencion de partos en servicio,vaginales,2007-01-01,20,20
HUARACAJE,atencion de partos en servicio,vaginales,2007-01-01,2,2
HUAYLLAMARCA,atencion de partos en servicio,vaginales,2007-01-01,5,5
ICHOCA,atencion de partos en servicio,vaginales,2007-01-01,3,3
ICLA,atencion de partos en servicio,vaginales,2007-01-01,14,14
INCAHUASI,atencion de partos en servicio,vaginales,2007-01-01,16,16
INQUISIVI,atencion de partos en servicio,vaginales,2007-01-01,3,3
IRUPANA (VILLA DE LANZA),atencion de partos en servicio,vaginales,2007-01-01,14,14
IXIAMAS,atencion de partos en servicio,vaginales,2007-01-01,5,5
JESUS DE MACHACA,atencion de partos en servicio,vaginales,2007-01-01,4,4
LA ASUNTA,atencion de partos en servicio,vaginales,2007-01-01,26,26
LA GUARDIA,atencion de partos en servicio,vaginales,2007-01-01,48,48
LA PAZ,atencion de partos en servicio,vaginales,2007-01-01,957,957
LAGUNILLAS,atencion de partos en servicio,vaginales,2007-01-01,4,4
LAJA,atencion de partos en servicio,vaginales,2007-01-01,6,6
LAS CARRERAS,atencion de partos en servicio,vaginales,2007-01-01,2,2
LICOMA PAMPA,atencion de partos en servicio,vaginales,2007-01-01,4,4
LLALLAGUA,atencion de partos en servicio,vaginales,2007-01-01,55,55
LLICA,atencion de partos en servicio,vaginales,2007-01-01,1,1
LORETO,atencion de partos en servicio,vaginales,2007-01-01,2,2
LURIBAY,atencion de partos en servicio,vaginales,2007-01-01,2,2
MACHACAMARCA,atencion de partos en servicio,vaginales,2007-01-01,2,2
MACHARETI,atencion de partos en servicio,vaginales,2007-01-01,9,9
MAGDALENA,atencion de partos en servicio,vaginales,2007-01-01,7,7
MAIRANA,atencion de partos en servicio,vaginales,2007-01-01,14,14
MAPIRI,atencion de partos en servicio,vaginales,2007-01-01,18,18
MECAPACA,atencion de partos en servicio,vaginales,2007-01-01,8,8
MINEROS,atencion de partos en servicio,vaginales,2007-01-01,28,28
MIZQUE,atencion de partos en servicio,vaginales,2007-01-01,29,29
MOJOCOYA,atencion de partos en servicio,vaginales,2007-01-01,3,3
MONTEAGUDO,atencion de partos en servicio,vaginales,2007-01-01,27,27
MONTERO,atencion de partos en servicio,vaginales,2007-01-01,157,157
MORO MORO,atencion de partos en servicio,vaginales,2007-01-01,1,1
MOROCHATA,atencion de partos en servicio,vaginales,2007-01-01,9,9
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en servicio,vaginales,2007-01-01,1,1
OCURI,atencion de partos en servicio,vaginales,2007-01-01,5,5
OKINAWA,atencion de partos en servicio,vaginales,2007-01-01,20,20
OMEREQUE,atencion de partos en servicio,vaginales,2007-01-01,5,5
ORURO,atencion de partos en servicio,vaginales,2007-01-01,325,325
PADCAYA,atencion de partos en servicio,vaginales,2007-01-01,22,22
PADILLA,atencion de partos en servicio,vaginales,2007-01-01,9,9
PAILON,atencion de partos en servicio,vaginales,2007-01-01,27,27
PALCA,atencion de partos en servicio,vaginales,2007-01-01,1,1
PALOS BLANCOS,atencion de partos en servicio,vaginales,2007-01-01,26,26
PAMPA GRANDE,atencion de partos en servicio,vaginales,2007-01-01,1,1
PAPEL PAMPA,atencion de partos en servicio,vaginales,2007-01-01,2,2
PATACAMAYA,atencion de partos en servicio,vaginales,2007-01-01,23,23
PAZÑA,atencion de partos en servicio,vaginales,2007-01-01,3,3
PELECHUCO,atencion de partos en servicio,vaginales,2007-01-01,1,1
POCOATA,atencion de partos en servicio,vaginales,2007-01-01,4,4
POCONA,atencion de partos en servicio,vaginales,2007-01-01,15,15
POJO (CBBA),atencion de partos en servicio,vaginales,2007-01-01,9,9
POOPO,atencion de partos en servicio,vaginales,2007-01-01,9,9
PORCO,atencion de partos en servicio,vaginales,2007-01-01,14,14
POROMA,atencion de partos en servicio,vaginales,2007-01-01,7,7
PORONGO,atencion de partos en servicio,vaginales,2007-01-01,7,7
PORTACHUELO,atencion de partos en servicio,vaginales,2007-01-01,30,30
PORVENIR,atencion de partos en servicio,vaginales,2007-01-01,2,2
POSTRER VALLE,atencion de partos en servicio,vaginales,2007-01-01,1,1
POTOSI,atencion de partos en servicio,vaginales,2007-01-01,291,291
PRESTO,atencion de partos en servicio,vaginales,2007-01-01,4,4
PUCARANI,atencion de partos en servicio,vaginales,2007-01-01,5,5
PUERTO ACOSTA,atencion de partos en servicio,vaginales,2007-01-01,8,8
PUERTO QUIJARRO,atencion de partos en servicio,vaginales,2007-01-01,15,15
PUERTO RICO,atencion de partos en servicio,vaginales,2007-01-01,7,7
PUERTO SILES,atencion de partos en servicio,vaginales,2007-01-01,1,1
PUERTO SUAREZ,atencion de partos en servicio,vaginales,2007-01-01,14,14
PUERTO VILLARROEL,atencion de partos en servicio,vaginales,2007-01-01,69,69
PUNA,atencion de partos en servicio,vaginales,2007-01-01,14,14
PUNATA,atencion de partos en servicio,vaginales,2007-01-01,47,47
QUILLACOLLO,atencion de partos en servicio,vaginales,2007-01-01,101,101
QUIME,atencion de partos en servicio,vaginales,2007-01-01,6,6
