municipality,group,variable,month,Nacidos vivos con peso menor a 2500g,TOTAL
AIQUILE,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2007-01-01,5,5
ASCENCION DE GUARAYOS,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2007-01-01,6,6
ATOCHA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2007-01-01,2,2
AZURDUY,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2007-01-01,1,1
BERMEJO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2007-01-01,1,1
BUENA VISTA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2007-01-01,1,1
CAMARGO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2007-01-01,3,3
CAMIRI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2007-01-01,4,4
CARACOLLO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2007-01-01,1,1
CARANAVI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2007-01-01,1,1
CHARAGUA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2007-01-01,3,3
COBIJA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2007-01-01,14,14
COCHABAMBA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2007-01-01,90,90
COMARAPA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2007-01-01,1,1
CONCEPCION,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2007-01-01,1,1
COPACABANA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2007-01-01,1,1
COROICO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2007-01-01,2,2
COTOCA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2007-01-01,2,2
CULPINA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2007-01-01,1,1
EL ALTO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2007-01-01,72,72
ENTRE RIOS,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2007-01-01,1,1
GENERAL SAAVEDRA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2007-01-01,1,1
GUAQUI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2007-01-01,1,1
GUAYARAMERIN,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2007-01-01,13,13
HUACARETA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2007-01-01,1,1
