municipality,group,variable,month,Nacidos vivos con peso menor a 2500 g.,TOTAL
AZURDUY,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-01-01,3,3
CABEZAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-01-01,1,1
CARACOLLO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-01-01,2,2
COCAPATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-01-01,3,3
CORIPATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-01-01,1,1
COROICO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-01-01,3,3
COTAGAITA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-01-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-01-01,1,1
CURVA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-01-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-01-01,2,2
EL PUENTE(TJA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-01-01,3,3
HUACHACALLA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-01-01,1,1
LAJA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-01-01,2,2
SACABA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-01-01,1,1
SAN PABLO DE LIPEZ,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-01-01,1,1
TARABUCO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-01-01,2,2
TIAWANACU,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-01-01,1,1
VACAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-01-01,1,1
YOCALLA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-01-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-02-01,1,1
CAJUATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-02-01,1,1
CARANAVI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-02-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-02-01,1,1
COCAPATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-02-01,5,5
COROICO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-02-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-02-01,1,1
CURVA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-02-01,1,1
GUANAY,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-02-01,1,1
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-02-01,1,1
MIZQUE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-02-01,1,1
ORURO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-02-01,1,1
PAILON,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-02-01,1,1
PAMPA AULLAGAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-02-01,1,1
SAN ANDRES,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-02-01,2,2
SAN BUENA VENTURA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-02-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-02-01,1,1
TACOPAYA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-02-01,1,1
ZUDAÑEZ,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-02-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-03-01,1,1
COCAPATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-03-01,4,4
COIPASA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-03-01,1,1
COROICO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-03-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-03-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-03-01,2,2
GUAYARAMERIN,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-03-01,1,1
HUAYLLAMARCA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-03-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-03-01,2,2
ORURO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-03-01,1,1
PADCAYA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-03-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-03-01,2,2
POJO (CBBA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-03-01,1,1
PUERTO PEREZ,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-03-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-03-01,3,3
SAN IGNACIO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-03-01,2,2
SAN LORENZO(TJA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-03-01,2,2
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-03-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-03-01,0,0
SENA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-03-01,1,1
SICA SICA (VILLA AROMA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-03-01,1,1
SOPACHUY,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-03-01,1,1
SUCRE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-03-01,1,1
TACOBAMBA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-03-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-03-01,3,3
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-03-01,3,3
TOMAVE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-03-01,1,1
TOMINA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-03-01,1,1
UNCIA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-03-01,2,2
VILLA CHARCAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-03-01,2,2
VILLA NUEVA (LOMA ALTA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-03-01,1,1
VILLA SERRANO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-03-01,2,2
VITICHI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-03-01,1,1
ACHACACHI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-04-01,1,1
AIQUILE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-04-01,1,1
ALALAY,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-04-01,1,1
ARBIETO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-04-01,1,1
AYO AYO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-04-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-04-01,1,1
CKOCHAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-04-01,1,1
COCAPATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-04-01,2,2
"COLCHA ""K""",atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-04-01,1,1
ICHOCA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-04-01,1,1
LAGUNILLAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-04-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-04-01,5,5
OCURI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-04-01,1,1
ORURO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-04-01,1,1
PADILLA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-04-01,1,1
PAPEL PAMPA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-04-01,1,1
POROMA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-04-01,1,1
PUCARANI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-04-01,1,1
PUERTO GONZALO MORENO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-04-01,2,2
PUNA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-04-01,3,3
QUILLACOLLO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-04-01,1,1
SACACA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-04-01,1,1
SAN ANDRES,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-04-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-04-01,5,5
SAN PABLO DE LIPEZ,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-04-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-04-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-04-01,2,2
TOMAVE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-04-01,1,1
TORO TORO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-04-01,1,1
VILA VILA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-04-01,1,1
YANACACHI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-04-01,1,1
YUNCHARA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-04-01,1,1
ANDAMARCA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-05-01,1,1
BATALLAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-05-01,5,5
BOLIVAR,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-05-01,1,1
CARACOLLO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-05-01,1,1
CLIZA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-05-01,1,1
COROICO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-05-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-05-01,2,2
LURIBAY,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-05-01,1,1
PADILLA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-05-01,1,1
PRESTO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-05-01,2,2
PUERTO PEREZ,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-05-01,1,1
SAN LORENZO(TJA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-05-01,2,2
SAN LUCAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-05-01,1,1
SAN MIGUEL DE VELASCO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-05-01,2,2
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-05-01,1,1
SAN PEDRO DE CURAHUARA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-05-01,1,1
SENA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-05-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-05-01,4,4
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-05-01,1,1
TOTORA(ORR),atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-05-01,1,1
YAMPARAEZ,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-05-01,1,1
YUNCHARA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-05-01,1,1
ACACIO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-06-01,1,1
ARBIETO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-06-01,1,1
ARQUE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-06-01,1,1
ATOCHA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-06-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-06-01,2,2
BELLA FLOR,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-06-01,1,1
BOLIVAR,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-06-01,1,1
CALAMARCA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-06-01,1,1
CAMARGO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-06-01,1,1
CHARAÑA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-06-01,1,1
COCAPATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-06-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-06-01,1,1
EL CHORO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-06-01,4,4
EL PUENTE(TJA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2010-06-01,1,1
