municipality,group,variable,month,Partos atendidos por personal de salud,TOTAL
ACACIO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,3,3
ACHACACHI,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,25,25
ACHOCALLA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,4,4
AIQUILE,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
ALALAY,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,4,4
ALTO BENI,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
ANCORAIMES,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,6,6
ANDAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
ANZALDO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
APOLO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,6,6
ARAMPAMPA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
ARANI,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
ARQUE,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,9,9
ASCENCION DE GUARAYOS,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,3,3
ATOCHA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,3,3
AUCAPATA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,6,6
AYATA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,3,3
AYO AYO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,7,7
AZURDUY,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,17,17
BATALLAS,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,10,10
BAURES,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
BELEN DE ANDAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
BELLA FLOR,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
BETANZOS,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,13,13
BOLIVAR,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,11,11
BOYUIBE,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
BUENA VISTA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
CABEZAS,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,5,5
CAIROMA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,6,6
CAJUATA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,7,7
CALACOTO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
CALAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,11,11
CAMARGO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
CAMIRI,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,1,1
CAPINOTA,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,6,6
CAQUIAVIRI,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,4,4
CARACOLLO,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,9,9
CARANAVI,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,5,5
CARAPARI,atencion de partos en domicilio,partos atendidos por personal de salud,2010-01-01,2,2
