municipality,group,variable,month,Nacidos muertos con peso menor a 2500 g.,TOTAL
AYATA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-01-01,1,1
SAN PABLO DE LIPEZ,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-01-01,1,1
ARAMPAMPA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-02-01,1,1
MINEROS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-02-01,1,1
MOCOMOCO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-02-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-02-01,1,1
VILLA CHARCAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-02-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-02-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-03-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-03-01,0,0
CKOCHAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-04-01,1,1
POROMA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-04-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-04-01,1,1
ARQUE,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-05-01,1,1
GUTIERREZ,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-05-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-05-01,2,2
TARVITA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-05-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-06-01,1,1
COCAPATA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-06-01,3,3
CORIPATA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-06-01,1,1
COROICO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-06-01,1,1
PAMPA AULLAGAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-06-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-06-01,0,0
GUANAY,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-07-01,1,1
INQUISIVI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-07-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-07-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-07-01,0,0
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-07-01,1,1
YOCALLA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-07-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-08-01,1,1
CURVA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-08-01,1,1
PUNA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-08-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-08-01,0,0
MOJOCOYA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-09-01,2,2
SAN LUCAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-09-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-09-01,0,0
TOMINA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-09-01,1,1
POROMA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-10-01,1,1
RIBERALTA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-10-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-10-01,0,0
COCAPATA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-11-01,1,1
CULPINA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-11-01,1,1
LA PAZ,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-11-01,1,1
MINEROS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-12-01,1,1
TUPIZA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2010-12-01,2,2
