municipality,group,variable,month,Nacidos muertos atendidos por partera capacitada,TOTAL
BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-01-01,1,1
"CAIZA ""D""",atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-01-01,1,1
COCAPATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-01-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-01-01,2,2
HUACHACALLA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-01-01,1,1
MACHACAMARCA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-01-01,1,1
PAILON,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-01-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-01-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-01-01,1,1
SAN CARLOS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-01-01,3,3
SAN MATIAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-01-01,1,1
SAN PEDRO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-01-01,2,2
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-01-01,1,1
TUPIZA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-01-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-02-01,1,1
BERMEJO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-02-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-02-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-02-01,1,1
ICHOCA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-02-01,1,1
MOJOCOYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-02-01,1,1
SAN CARLOS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-02-01,9,9
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-02-01,2,2
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-02-01,1,1
SANTA ROSA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-02-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-02-01,1,1
TEOPONTE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-02-01,1,1
TURCO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-02-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-03-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-03-01,1,1
RURRENABAQUE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-03-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-03-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-03-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-03-01,0,0
SANTIAGO DE HUARI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-03-01,1,1
YACUIBA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-03-01,1,1
CARANAVI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-04-01,2,2
CARIPUYO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-04-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-04-01,1,1
CORQUE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-04-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-04-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-04-01,2,2
GUANAY,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-04-01,1,1
POROMA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-04-01,1,1
PUERTO GONZALO MORENO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-04-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-04-01,1,1
ARQUE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-05-01,1,1
EUCALIPTUS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-05-01,1,1
GUANAY,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-05-01,1,1
ICLA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-05-01,2,2
JESUS DE MACHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-05-01,11,11
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-05-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-05-01,1,1
TUPIZA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-05-01,1,1
AYO AYO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-06-01,1,1
CALACOTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-06-01,1,1
CHARAGUA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-06-01,1,1
CKOCHAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-06-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-06-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-06-01,2,2
GUTIERREZ,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2010-06-01,1,1
