municipality,group,variable,month,Nacidos muertos atendidos por personal de salud,TOTAL
ARAMPAMPA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-01-01,1,1
AYATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-01-01,1,1
BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-01-01,1,1
CHUMA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-01-01,1,1
ICLA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-01-01,1,1
LA PAZ,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-01-01,4,4
LAJA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-01-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-01-01,2,2
PRESTO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-01-01,1,1
REYES,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-01-01,1,1
SAN CARLOS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-01-01,2,2
SAN PABLO DE LIPEZ,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-01-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-01-01,1,1
ALTO BENI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-02-01,1,1
ANDAMARCA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-02-01,1,1
ARAMPAMPA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-02-01,1,1
ATOCHA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-02-01,2,2
AYO AYO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-02-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-02-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-02-01,3,3
MINEROS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-02-01,1,1
MOCOMOCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-02-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-02-01,1,1
PUERTO SILES,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-02-01,1,1
SAN CARLOS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-02-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-02-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-02-01,4,4
SAPAHAQUI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-02-01,1,1
VILLA CHARCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-02-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-02-01,1,1
ZUDAÑEZ,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-02-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-03-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-03-01,2,2
CALACOTO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-03-01,1,1
CARACOLLO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-03-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-03-01,1,1
CORQUE,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-03-01,1,1
MOCOMOCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-03-01,1,1
OMEREQUE,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-03-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-03-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-03-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-03-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-03-01,0,0
TORO TORO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-03-01,1,1
YACUIBA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-03-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2010-04-01,1,1
