,group,variable,month,TELEDISPOSITIVOS ESPIROMETRO < A 6 MESES,TELEDISPOSITIVOS ESPIROMETRO < A 6 MESES,TELEDISPOSITIVOS ESPIROMETRO 6 MESES < 1 AÑO,TELEDISPOSITIVOS ESPIROMETRO 6 MESES < 1 AÑO,TELEDISPOSITIVOS ESPIROMETRO 1 A 4 AÑOS,TELEDISPOSITIVOS ESPIROMETRO 1 A 4 AÑOS,TELEDISPOSITIVOS ESPIROMETRO 5 A 9 AÑOS,TELEDISPOSITIVOS ESPIROMETRO 5 A 9 AÑOS,TELEDISPOSITIVOS ESPIROMETRO 10 A 14 AÑOS,TELEDISPOSITIVOS ESPIROMETRO 10 A 14 AÑOS,TELEDISPOSITIVOS ESPIROMETRO 15 A 19 AÑOS,TELEDISPOSITIVOS ESPIROMETRO 15 A 19 AÑOS,TELEDISPOSITIVOS ESPIROMETRO 20 A 39 AÑOS,TELEDISPOSITIVOS ESPIROMETRO 20 A 39 AÑOS,TELEDISPOSITIVOS ESPIROMETRO 40 A 49 AÑOS,TELEDISPOSITIVOS ESPIROMETRO 40 A 49 AÑOS,TELEDISPOSITIVOS ESPIROMETRO 50 A 59 AÑOS,TELEDISPOSITIVOS ESPIROMETRO 50 A 59 AÑOS,TELEDISPOSITIVOS ESPIROMETRO 60 A MAS,TELEDISPOSITIVOS ESPIROMETRO 60 A MAS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
BOYUIBE,telesalud,teledispositivos espirometro,2024-01-01,0,0,0,0,0,0,0,0,0,0,1,2,3,2,1,3,1,7,6,6,12,20,32
COTOCA,telesalud,teledispositivos espirometro,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1,1,1,3,2,1,6,9,15
ORURO,telesalud,teledispositivos espirometro,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,5,0,2,0,15,15
TURCO,telesalud,teledispositivos espirometro,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
UYUNI,telesalud,teledispositivos espirometro,2024-02-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
ALALAY,telesalud,teledispositivos espirometro,2024-03-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,telesalud,teledispositivos espirometro,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
VILLAZON,telesalud,teledispositivos espirometro,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
COTOCA,telesalud,teledispositivos espirometro,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,15,0,6,0,4,0,65,65
TOLATA,telesalud,teledispositivos espirometro,2024-04-01,0,0,0,0,0,0,2,0,3,1,0,0,0,8,1,1,2,0,4,5,12,15,27
BERMEJO,telesalud,teledispositivos espirometro,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2
PATACAMAYA,telesalud,teledispositivos espirometro,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,1,0,0,0,8,8
CURAHUARA DE CARANGAS,telesalud,teledispositivos espirometro,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
