,group,variable,month,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS < A 6 MESES,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS < A 6 MESES,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 6 MESES < 1 AÑO,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 6 MESES < 1 AÑO,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 1 A 4 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 1 A 4 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 5 A 9 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 5 A 9 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 10 A 14 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 10 A 14 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 15 A 19 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 15 A 19 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 20 A 39 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 20 A 39 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 40 A 49 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 40 A 49 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 50 A 59 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 50 A 59 AÑOS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 60 A MAS,NRO DE TELEINTERCONSULTAS DE RESPUESTA EFECTIVIZADAS 60 A MAS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
AIQUILE,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,2,3,0,2,3,10,13
ATOCHA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,4,0,0,0,0,3,7,10
BERMEJO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,1,2,1,1,4,6,10
CAMIRI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,1,0,1,0,0,1,0,0,1,1,9,0,4,0,6,11,9,13,31,44
CARACOLLO,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,0,2,1,1,1,0,0,0,7,1,12,1,4,1,5,8,19,14,49,63
CARAPARI,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,7
CHALLAPATA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,1,0,0,2,2,0,0,1,1,6,5,8,35,7,7,6,8,20,18,50,77,127
CHULUMANI (V. DE LA LIBERTAD),telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,1,0,2,1,2,3,2,1,0,2,1,10,2,48,1,8,5,4,14,9,30,86,116
COCHABAMBA,telesalud,nro de teleinterconsultas de respuesta efectivizadas,2024-01-01,0,0,1,0,0,3,1,1,0,0,3,2,0,12,5,4,2,3,2,5,14,30,44
