,group,variable,month,TELEDISPOSITIVOS ECOGRAFO < A 6 MESES,TELEDISPOSITIVOS ECOGRAFO < A 6 MESES,TELEDISPOSITIVOS ECOGRAFO 6 MESES < 1 AÑO,TELEDISPOSITIVOS ECOGRAFO 6 MESES < 1 AÑO,TELEDISPOSITIVOS ECOGRAFO 1 A 4 AÑOS,TELEDISPOSITIVOS ECOGRAFO 1 A 4 AÑOS,TELEDISPOSITIVOS ECOGRAFO 5 A 9 AÑOS,TELEDISPOSITIVOS ECOGRAFO 5 A 9 AÑOS,TELEDISPOSITIVOS ECOGRAFO 10 A 14 AÑOS,TELEDISPOSITIVOS ECOGRAFO 10 A 14 AÑOS,TELEDISPOSITIVOS ECOGRAFO 15 A 19 AÑOS,TELEDISPOSITIVOS ECOGRAFO 15 A 19 AÑOS,TELEDISPOSITIVOS ECOGRAFO 20 A 39 AÑOS,TELEDISPOSITIVOS ECOGRAFO 20 A 39 AÑOS,TELEDISPOSITIVOS ECOGRAFO 40 A 49 AÑOS,TELEDISPOSITIVOS ECOGRAFO 40 A 49 AÑOS,TELEDISPOSITIVOS ECOGRAFO 50 A 59 AÑOS,TELEDISPOSITIVOS ECOGRAFO 50 A 59 AÑOS,TELEDISPOSITIVOS ECOGRAFO 60 A MAS,TELEDISPOSITIVOS ECOGRAFO 60 A MAS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
APOLO,telesalud,teledispositivos ecografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,6,0,8,1,3,1,1,0,0,2,18,20
CAMATAQUI (C. VILLA ABECIA),telesalud,teledispositivos ecografo,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,4
CHIMORE,telesalud,teledispositivos ecografo,2024-01-01,0,0,0,0,0,0,0,0,0,1,2,1,2,3,1,1,0,2,3,4,8,12,20
CHIPAYA,telesalud,teledispositivos ecografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,3
CHUMA,telesalud,teledispositivos ecografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,telesalud,teledispositivos ecografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,10
CORO CORO,telesalud,teledispositivos ecografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,1,6,7
CURAHUARA DE CARANGAS,telesalud,teledispositivos ecografo,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,5,1,9,10
CURVA,telesalud,teledispositivos ecografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
GUAQUI,telesalud,teledispositivos ecografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
HUACAYA (VILLA DE HUACAYA),telesalud,teledispositivos ecografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,4,4
HUARINA,telesalud,teledispositivos ecografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
LA PAZ,telesalud,teledispositivos ecografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,2,4,0,3,1,0,0,0,0,0,3,7,10
