,group,variable,month,NRO DE TELECONSULTAS S < A 6 MESES,NRO DE TELECONSULTAS S < A 6 MESES,NRO DE TELECONSULTAS S 6 MESES < 1 AÑO,NRO DE TELECONSULTAS S 6 MESES < 1 AÑO,NRO DE TELECONSULTAS S 1 A 4 AÑOS,NRO DE TELECONSULTAS S 1 A 4 AÑOS,NRO DE TELECONSULTAS S 5 A 9 AÑOS,NRO DE TELECONSULTAS S 5 A 9 AÑOS,NRO DE TELECONSULTAS S 10 A 14 AÑOS,NRO DE TELECONSULTAS S 10 A 14 AÑOS,NRO DE TELECONSULTAS S 15 A 19 AÑOS,NRO DE TELECONSULTAS S 15 A 19 AÑOS,NRO DE TELECONSULTAS S 20 A 39 AÑOS,NRO DE TELECONSULTAS S 20 A 39 AÑOS,NRO DE TELECONSULTAS S 40 A 49 AÑOS,NRO DE TELECONSULTAS S 40 A 49 AÑOS,NRO DE TELECONSULTAS S 50 A 59 AÑOS,NRO DE TELECONSULTAS S 50 A 59 AÑOS,NRO DE TELECONSULTAS S 60 A MAS,NRO DE TELECONSULTAS S 60 A MAS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
AIQUILE,telesalud,nro de teleconsultas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2
ALALAY,telesalud,nro de teleconsultas s,2024-01-01,0,0,0,0,0,0,4,0,0,4,0,0,4,0,4,4,0,4,0,12,12,24,36
ALCALA,telesalud,nro de teleconsultas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,4,4,12,0,4,0,4,12,8,16,32,48
ANDAMARCA,telesalud,nro de teleconsultas s,2024-01-01,0,0,0,0,0,0,7,0,0,0,0,0,7,7,0,0,0,0,0,0,14,7,21
ARANI,telesalud,nro de teleconsultas s,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,3,2,5
"CAIZA ""D""",telesalud,nro de teleconsultas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,3
CAMATAQUI (C. VILLA ABECIA),telesalud,nro de teleconsultas s,2024-01-01,0,0,0,0,0,0,2,0,2,0,2,0,0,0,2,2,2,0,2,4,12,6,18
CHACARILLA,telesalud,nro de teleconsultas s,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,6,2,8
COLPA BELGICA,telesalud,nro de teleconsultas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
COLQUIRI,telesalud,nro de teleconsultas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,4,4
CORIPATA,telesalud,nro de teleconsultas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3
EL CHORO,telesalud,nro de teleconsultas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3
EXALTACION,telesalud,nro de teleconsultas s,2024-01-01,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,2,0,2,3,5,8
GAIOC JATUN AYLLU YURA,telesalud,nro de teleconsultas s,2024-01-01,0,0,0,0,0,0,0,0,3,0,0,1,0,3,0,2,0,0,0,0,3,6,9
HUARINA,telesalud,nro de teleconsultas s,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,4
