,group,variable,month,TELEDISPOSITIVOS COLPOSCOPIO < A 6 MESES,TELEDISPOSITIVOS COLPOSCOPIO < A 6 MESES,TELEDISPOSITIVOS COLPOSCOPIO 6 MESES < 1 AÑO,TELEDISPOSITIVOS COLPOSCOPIO 6 MESES < 1 AÑO,TELEDISPOSITIVOS COLPOSCOPIO 1 A 4 AÑOS,TELEDISPOSITIVOS COLPOSCOPIO 1 A 4 AÑOS,TELEDISPOSITIVOS COLPOSCOPIO 5 A 9 AÑOS,TELEDISPOSITIVOS COLPOSCOPIO 5 A 9 AÑOS,TELEDISPOSITIVOS COLPOSCOPIO 10 A 14 AÑOS,TELEDISPOSITIVOS COLPOSCOPIO 10 A 14 AÑOS,TELEDISPOSITIVOS COLPOSCOPIO 15 A 19 AÑOS,TELEDISPOSITIVOS COLPOSCOPIO 15 A 19 AÑOS,TELEDISPOSITIVOS COLPOSCOPIO 20 A 39 AÑOS,TELEDISPOSITIVOS COLPOSCOPIO 20 A 39 AÑOS,TELEDISPOSITIVOS COLPOSCOPIO 40 A 49 AÑOS,TELEDISPOSITIVOS COLPOSCOPIO 40 A 49 AÑOS,TELEDISPOSITIVOS COLPOSCOPIO 50 A 59 AÑOS,TELEDISPOSITIVOS COLPOSCOPIO 50 A 59 AÑOS,TELEDISPOSITIVOS COLPOSCOPIO 60 A MAS,TELEDISPOSITIVOS COLPOSCOPIO 60 A MAS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
FERNANDEZ ALONSO,telesalud,teledispositivos colposcopio,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,4,4
TURCO,telesalud,teledispositivos colposcopio,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
CLIZA,telesalud,teledispositivos colposcopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,11,0,9,0,5,0,59,59
ORURO,telesalud,teledispositivos colposcopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
PATACAMAYA,telesalud,teledispositivos colposcopio,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,3
CAMARGO,telesalud,teledispositivos colposcopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COTOCA,telesalud,teledispositivos colposcopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,5,0,76,0,28,0,10,0,3,0,122,122
FERNANDEZ ALONSO,telesalud,teledispositivos colposcopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,5,5
MAIRANA,telesalud,teledispositivos colposcopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,8,0,5,0,0,0,37,37
ORURO,telesalud,teledispositivos colposcopio,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18,5,0,3,0,1,20,9,29
RAVELO,telesalud,teledispositivos colposcopio,2024-03-01,0,0,0,0,0,0,0,0,0,2,0,13,0,30,0,32,0,19,0,0,0,96,96
ARAMPAMPA,telesalud,teledispositivos colposcopio,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
COLQUIRI,telesalud,teledispositivos colposcopio,2024-04-01,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,3,6
