,group,variable,month,NRO DE TELEINTERCONSULTAS GENERADAS N < A 6 MESES,NRO DE TELEINTERCONSULTAS GENERADAS N < A 6 MESES,NRO DE TELEINTERCONSULTAS GENERADAS N 6 MESES < 1 AÑO,NRO DE TELEINTERCONSULTAS GENERADAS N 6 MESES < 1 AÑO,NRO DE TELEINTERCONSULTAS GENERADAS N 1 A 4 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 1 A 4 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 5 A 9 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 5 A 9 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 10 A 14 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 10 A 14 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 15 A 19 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 15 A 19 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 20 A 39 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 20 A 39 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 40 A 49 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 40 A 49 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 50 A 59 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 50 A 59 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS N 60 A MAS,NRO DE TELEINTERCONSULTAS GENERADAS N 60 A MAS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
AIQUILE,telesalud,nro de teleinterconsultas generadas n,2024-01-01,2,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,3,0,1,5,6,13,19
ALCALA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,4,0,0,3,1,4,10,14
ANDAMARCA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,6,6
APOLO,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,3,0,1,0,0,0,17,17
ARANI,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2
ATOCHA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,4,0,0,0,0,3,6,9
AUCAPATA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,4
BELEN DE ANDAMARCA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,4,8,8,16
BOYUIBE,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,3,1,5,4,5,8,17,25
CABEZAS,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,8,4,4,4,20,24
"CAIZA ""D""",telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,2,2,3,6,9
CAJUATA,telesalud,nro de teleinterconsultas generadas n,2024-01-01,0,0,0,0,0,1,0,0,1,2,2,0,3,4,0,2,3,3,6,2,15,14,29
