,group,variable,month,TELEDISPOSITIVOS ELECTROCARDIOGRAFO < A 6 MESES,TELEDISPOSITIVOS ELECTROCARDIOGRAFO < A 6 MESES,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 6 MESES < 1 AÑO,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 6 MESES < 1 AÑO,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 1 A 4 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 1 A 4 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 5 A 9 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 5 A 9 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 10 A 14 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 10 A 14 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 15 A 19 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 15 A 19 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 20 A 39 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 20 A 39 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 40 A 49 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 40 A 49 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 50 A 59 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 50 A 59 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 60 A MAS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 60 A MAS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
AIQUILE,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,1,2,1,2,4,5,3,4,6,6,20,19,35,54
ANDAMARCA,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,4
AUCAPATA,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2
BOYUIBE,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,3,3,6,4,10
CABEZAS,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,1,5,10,0,3,1,4,0,5,6,23,29
"CAIZA ""D""",telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CAJUATA,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,1,3,2,8,10
CAMIRI,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,1,1,2,1,4,4,10,14
CARACOLLO,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CARAPARI,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,1,0,0,2,0,1,1,2,2,3,2,3,9,10,15,21,36
CARIPUYO,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,2,3,5
CHACARILLA,telesalud,teledispositivos electrocardiografo,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
