,group,variable,month,NRO DE TELECONSULTAS N < A 6 MESES,NRO DE TELECONSULTAS N < A 6 MESES,NRO DE TELECONSULTAS N 6 MESES < 1 AÑO,NRO DE TELECONSULTAS N 6 MESES < 1 AÑO,NRO DE TELECONSULTAS N 1 A 4 AÑOS,NRO DE TELECONSULTAS N 1 A 4 AÑOS,NRO DE TELECONSULTAS N 5 A 9 AÑOS,NRO DE TELECONSULTAS N 5 A 9 AÑOS,NRO DE TELECONSULTAS N 10 A 14 AÑOS,NRO DE TELECONSULTAS N 10 A 14 AÑOS,NRO DE TELECONSULTAS N 15 A 19 AÑOS,NRO DE TELECONSULTAS N 15 A 19 AÑOS,NRO DE TELECONSULTAS N 20 A 39 AÑOS,NRO DE TELECONSULTAS N 20 A 39 AÑOS,NRO DE TELECONSULTAS N 40 A 49 AÑOS,NRO DE TELECONSULTAS N 40 A 49 AÑOS,NRO DE TELECONSULTAS N 50 A 59 AÑOS,NRO DE TELECONSULTAS N 50 A 59 AÑOS,NRO DE TELECONSULTAS N 60 A MAS,NRO DE TELECONSULTAS N 60 A MAS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
AIQUILE,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,2,4,3,7
ALALAY,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,3,3,6,9
ALCALA,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,0,1,3,2,4,8,12
ANDAMARCA,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,3
ARANI,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,1,0,1,0,2,0,1,3,0,0,0,0,1,2,6,5,11
BELEN DE ANDAMARCA,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,9,3,12
"CAIZA ""D""",telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CAMATAQUI (C. VILLA ABECIA),telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,2,2,7,3,10
CARIPUYO,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,2,2,0,0,0,0,0,0,1,1,3,1,0,0,0,0,6,4,10
CHACARILLA,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,4,5
CHIMORE,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,5,5,0,10,5,35,40
COLLANA,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,5,5
COLQUIRI,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
CORIPATA,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,1,3
CORO CORO,telesalud,nro de teleconsultas n,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2
