,group,variable,month,TELEDISPOSITIVOS OTOSCOPIO < A 6 MESES,TELEDISPOSITIVOS OTOSCOPIO < A 6 MESES,TELEDISPOSITIVOS OTOSCOPIO 6 MESES < 1 AÑO,TELEDISPOSITIVOS OTOSCOPIO 6 MESES < 1 AÑO,TELEDISPOSITIVOS OTOSCOPIO 1 A 4 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 1 A 4 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 5 A 9 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 5 A 9 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 10 A 14 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 10 A 14 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 15 A 19 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 15 A 19 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 20 A 39 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 20 A 39 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 40 A 49 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 40 A 49 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 50 A 59 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 50 A 59 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 60 A MAS,TELEDISPOSITIVOS OTOSCOPIO 60 A MAS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
AUCAPATA,telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
CAMATAQUI (C. VILLA ABECIA),telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2
CAMIRI,telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
CARIPUYO,telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,3,2,5
CHUMA,telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,2,5
COLPA BELGICA,telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
COLQUIRI,telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,2,5,1,0,0,0,0,0,4,5,9
CORIPATA,telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CORO CORO,telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,2,2,4
CURAHUARA DE CARANGAS,telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,3
CURVA,telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
EL CHORO,telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ESCOMA,telesalud,teledispositivos otoscopio,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
