,group,variable,month,TELEDISPOSITIVOS OFTALMOSCOPIO < A 6 MESES,TELEDISPOSITIVOS OFTALMOSCOPIO < A 6 MESES,TELEDISPOSITIVOS OFTALMOSCOPIO 6 MESES < 1 AÑO,TELEDISPOSITIVOS OFTALMOSCOPIO 6 MESES < 1 AÑO,TELEDISPOSITIVOS OFTALMOSCOPIO 1 A 4 AÑOS,TELEDISPOSITIVOS OFTALMOSCOPIO 1 A 4 AÑOS,TELEDISPOSITIVOS OFTALMOSCOPIO 5 A 9 AÑOS,TELEDISPOSITIVOS OFTALMOSCOPIO 5 A 9 AÑOS,TELEDISPOSITIVOS OFTALMOSCOPIO 10 A 14 AÑOS,TELEDISPOSITIVOS OFTALMOSCOPIO 10 A 14 AÑOS,TELEDISPOSITIVOS OFTALMOSCOPIO 15 A 19 AÑOS,TELEDISPOSITIVOS OFTALMOSCOPIO 15 A 19 AÑOS,TELEDISPOSITIVOS OFTALMOSCOPIO 20 A 39 AÑOS,TELEDISPOSITIVOS OFTALMOSCOPIO 20 A 39 AÑOS,TELEDISPOSITIVOS OFTALMOSCOPIO 40 A 49 AÑOS,TELEDISPOSITIVOS OFTALMOSCOPIO 40 A 49 AÑOS,TELEDISPOSITIVOS OFTALMOSCOPIO 50 A 59 AÑOS,TELEDISPOSITIVOS OFTALMOSCOPIO 50 A 59 AÑOS,TELEDISPOSITIVOS OFTALMOSCOPIO 60 A MAS,TELEDISPOSITIVOS OFTALMOSCOPIO 60 A MAS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
CHUQUIHUTA AYLLU JUCUMANI,telesalud,teledispositivos oftalmoscopio,2024-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
SACABA,telesalud,teledispositivos oftalmoscopio,2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,4.0,8.0,5.0,11.0,1.0,11.0,22.0,22.0,36.0,54.0,90.0
WALDO BALLIVIAN,telesalud,teledispositivos oftalmoscopio,2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0
GAIOC JATUN AYLLU YURA,telesalud,teledispositivos oftalmoscopio,2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,4.0,4.0
SAN AGUSTIN,telesalud,teledispositivos oftalmoscopio,2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,4.0,5.0
TURCO,telesalud,teledispositivos oftalmoscopio,2024-04-01,0.0,0.0,0.0,0.0,13.0,17.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,25.0,42.0
PUERTO SUAREZ,telesalud,teledispositivos oftalmoscopio,2024-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0
WARNES,telesalud,teledispositivos oftalmoscopio,2024-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,4.0,1.0,0.0,10.0,8.0,18.0
