,group,variable,month,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES < A 6 MESES,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES < A 6 MESES,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 6 MESES < 1 AÑO,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 6 MESES < 1 AÑO,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 1 A 4 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 1 A 4 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 5 A 9 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 5 A 9 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 10 A 14 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 10 A 14 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 15 A 19 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 15 A 19 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 20 A 39 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 20 A 39 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 40 A 49 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 40 A 49 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 50 A 59 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 50 A 59 AÑOS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 60 A MAS,TELEDISPOSITIVOS MONITOR DE SIGNOS VITALES 60 A MAS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
ALALAY,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,3,3,6,9
ANDAMARCA,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,4
APOLO,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,6,0,8,1,3,1,1,0,0,2,18,20
BOYUIBE,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,3,1,5,4,5,8,17,25
"CAIZA ""D""",telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CAJUATA,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,1,3,2,8,10
CAMIRI,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,3,2,6,8,12,15,27
CARACOLLO,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CARAPARI,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,1,0,0,2,0,1,1,2,2,3,2,3,9,10,15,21,36
CARIPUYO,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,2,3,0,0,3,3,3,1,3,5,4,2,1,1,0,0,16,15,31
CHIMORE,telesalud,teledispositivos monitor de signos vitales,2024-01-01,0,0,0,0,0,0,0,0,0,1,2,1,2,3,1,1,0,2,3,4,8,12,20
