,group,variable,month,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BERMEJO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-01-01,0,1,0,0,0,1,1
CARANAVI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-01-01,0,1,0,0,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-01-01,1,0,2,3,3,3,6
COLCAPIRHUA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-01-01,1,0,0,0,1,0,1
"COLCHA ""K""",otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-01-01,0,1,0,0,0,1,1
COPACABANA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-01-01,0,2,0,0,0,2,2
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-01-01,3,3,1,0,4,3,7
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-01-01,6,6,1,1,7,7,14
ORURO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-01-01,1,3,0,0,1,3,4
PUERTO VILLARROEL,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-01-01,1,0,0,0,1,0,1
SAN BORJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-01-01,2,0,0,0,2,0,2
SHINAOTA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-01-01,0,1,0,1,0,2,2
SUCRE,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-01-01,1,0,0,0,1,0,1
TARIJA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable (vih),2023-01-01,3,2,0,0,3,2,5
