,group,variable,month,17.23 COVID-19 1RA DOSIS DENTRO,17.23 COVID-19 1RA DOSIS DENTRO,17.23 COVID-19 1RA DOSIS FUERA,17.23 COVID-19 1RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,0,0,2,1,2,1,3
ACHACACHI,otras vacunaciones,covid-19 1ra dosis,2023-01-01,74,23,85,42,159,65,224
AIQUILE,otras vacunaciones,covid-19 1ra dosis,2023-01-01,10,7,1,2,11,9,20
ALTO BENI,otras vacunaciones,covid-19 1ra dosis,2023-01-01,13,7,1,2,14,9,23
ANCORAIMES,otras vacunaciones,covid-19 1ra dosis,2023-01-01,20,3,7,2,27,5,32
ANDAMARCA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,4,5,0,0,4,5,9
ANTEQUERA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,3,0,0,0,3,0,3
ANZALDO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,3,3,1,0,4,3,7
APOLO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,19,6,8,1,27,7,34
ARAMPAMPA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,1,0,0,0,1,0,1
ARANI,otras vacunaciones,covid-19 1ra dosis,2023-01-01,13,10,0,0,13,10,23
ARBIETO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,33,20,1,2,34,22,56
ARQUE,otras vacunaciones,covid-19 1ra dosis,2023-01-01,15,8,9,10,24,18,42
ASCENCION DE GUARAYOS,otras vacunaciones,covid-19 1ra dosis,2023-01-01,13,7,0,0,13,7,20
ATOCHA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,2,4,6,6,8,10,18
AUCAPATA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,1,0,1,0,2,0,2
AYATA,otras vacunaciones,covid-19 1ra dosis,2023-01-01,4,4,12,13,16,17,33
AYO AYO,otras vacunaciones,covid-19 1ra dosis,2023-01-01,10,4,16,15,26,19,45
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid-19 1ra dosis,2023-01-01,9,14,15,12,24,26,50
AZURDUY,otras vacunaciones,covid-19 1ra dosis,2023-01-01,2,1,1,0,3,1,4
