,group,variable,month,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS DENTRO,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS DENTRO,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS FUERA,INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,influenza estacional a mujeres embarazadas,2023-01-01,0,15,0,2,0,17,17
ACHOCALLA,otras vacunaciones,influenza estacional a mujeres embarazadas,2023-01-01,0,46,0,1,0,47,47
ANCORAIMES,otras vacunaciones,influenza estacional a mujeres embarazadas,2023-01-01,0,1,0,0,0,1,1
ANDAMARCA,otras vacunaciones,influenza estacional a mujeres embarazadas,2023-01-01,0,0,0,1,0,1,1
APOLO,otras vacunaciones,influenza estacional a mujeres embarazadas,2023-01-01,0,21,0,1,0,22,22
ASCENCION DE GUARAYOS,otras vacunaciones,influenza estacional a mujeres embarazadas,2023-01-01,0,46,0,0,0,46,46
ATOCHA,otras vacunaciones,influenza estacional a mujeres embarazadas,2023-01-01,0,6,0,0,0,6,6
AYATA,otras vacunaciones,influenza estacional a mujeres embarazadas,2023-01-01,0,1,0,0,0,1,1
AYO AYO,otras vacunaciones,influenza estacional a mujeres embarazadas,2023-01-01,0,8,0,0,0,8,8
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,influenza estacional a mujeres embarazadas,2023-01-01,0,9,0,0,0,9,9
BATALLAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2023-01-01,0,10,0,0,0,10,10
BELLA FLOR,otras vacunaciones,influenza estacional a mujeres embarazadas,2023-01-01,0,1,0,0,0,1,1
BERMEJO,otras vacunaciones,influenza estacional a mujeres embarazadas,2023-01-01,0,2,0,0,0,2,2
BETANZOS,otras vacunaciones,influenza estacional a mujeres embarazadas,2023-01-01,0,8,0,0,0,8,8
BOLIVAR,otras vacunaciones,influenza estacional a mujeres embarazadas,2023-01-01,0,3,0,0,0,3,3
BUENA VISTA,otras vacunaciones,influenza estacional a mujeres embarazadas,2023-01-01,0,23,0,0,0,23,23
CABEZAS,otras vacunaciones,influenza estacional a mujeres embarazadas,2023-01-01,0,3,0,0,0,3,3
