,group,variable,month,DT 4TA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 4TA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 4TA. DOSIS DE 7 A 49 AÑOS FUERA,DT 4TA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2023-01-01,0,3,0,1,0,4,4
ACHOCALLA,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2023-01-01,0,5,0,0,0,5,5
AIQUILE,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2023-01-01,0,2,0,0,0,2,2
ALTO BENI,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2023-01-01,1,0,0,0,1,0,1
ANTEQUERA,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2023-01-01,2,0,0,0,2,0,2
APOLO,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2023-01-01,0,11,0,0,0,11,11
ARANI,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2023-01-01,0,4,0,5,0,9,9
ARBIETO,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2023-01-01,0,3,1,0,1,3,4
ARQUE,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2023-01-01,3,0,0,0,3,0,3
ASCENCION DE GUARAYOS,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2023-01-01,1,10,0,0,1,10,11
AYATA,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2023-01-01,0,0,1,1,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2023-01-01,0,4,2,2,2,6,8
BATALLAS,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2023-01-01,0,4,0,0,0,4,4
BELLA FLOR,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2023-01-01,0,0,5,5,5,5,10
BETANZOS,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2023-01-01,1,0,0,0,1,0,1
BOLPEBRA,otras vacunaciones,dt 4ta. dosis de 7 a 49 anos,2023-01-01,0,1,0,0,0,1,1
