,group,variable,month,17.22 ANTIAMARÍLICA ( DOSIS ÚNICA) DENTRO,17.22 ANTIAMARÍLICA ( DOSIS ÚNICA) DENTRO,17.22 ANTIAMARÍLICA ( DOSIS ÚNICA) FUERA,17.22 ANTIAMARÍLICA ( DOSIS ÚNICA) FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,8,32,51,7,59,39,98
ACHOCALLA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,3,3,0,0,3,3,6
AIQUILE,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,1,0,0,0,1,1
ALTO BENI,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,0,4,4,4,4,8
ANDAMARCA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,0,4,5,4,5,9
ARANI,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,0,0,0,1,0,1
ARBIETO,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,1,0,0,1,1,2
ASCENCION DE GUARAYOS,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,3,0,0,0,3,3
BATALLAS,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,0,1,0,1,0,1
BAURES,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,0,0,1,4,1,4,5
BELEN DE ANDAMARCA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,0,0,0,1,0,1
BELLA FLOR,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,0,4,9,5,9,14
BERMEJO,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,29,13,0,0,29,13,42
BUENA VISTA,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,2,8,0,0,2,8,10
CABEZAS,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,30,1,0,0,30,1,31
"CAIZA ""D""",otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,1,0,0,0,1,0,1
CAMARGO,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,6,9,1,0,7,9,16
CAMIRI,otras vacunaciones,antiamarilica ( dosis unica),2023-01-01,30,2,0,0,30,2,32
