,group,variable,month,HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD FUERA,HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AIQUILE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2023-01-01,1,1,0,0,1,1,2
ARBIETO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2023-01-01,0,1,0,0,0,1,1
ARQUE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2023-01-01,1,0,0,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2023-01-01,0,1,0,0,0,1,1
BELLA FLOR,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2023-01-01,3,2,0,0,3,2,5
BERMEJO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2023-01-01,1,5,0,0,1,5,6
BOLPEBRA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2023-01-01,4,3,0,0,4,3,7
CABEZAS,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2023-01-01,1,0,0,0,1,0,1
CAMARGO,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2023-01-01,1,1,0,0,1,1,2
CHIMORE,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2023-01-01,0,0,0,1,0,1,1
CHOQUE COTA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2023-01-01,0,1,0,0,0,1,1
CLIZA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2023-01-01,0,2,0,0,0,2,2
COBIJA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2023-01-01,0,1,0,1,0,2,2
COCHABAMBA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2023-01-01,6,19,0,2,6,21,27
COLCAPIRHUA,otras vacunaciones,hepatitis b 3ra. dosis trabajadores de salud,2023-01-01,1,1,0,0,1,1,2
