,group,variable,month,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD FUERA,HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHOCALLA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2023-01-01,0,1,0,0,0,1,1
AIQUILE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2023-01-01,1,5,0,0,1,5,6
ASCENCION DE GUARAYOS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2023-01-01,0,2,0,0,0,2,2
ATOCHA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2023-01-01,0,1,0,0,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2023-01-01,0,2,0,0,0,2,2
BATALLAS,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2023-01-01,0,2,0,0,0,2,2
BELLA FLOR,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2023-01-01,0,2,0,0,0,2,2
BERMEJO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2023-01-01,3,6,0,0,3,6,9
CAJUATA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2023-01-01,0,1,0,0,0,1,1
CAMIRI,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2023-01-01,1,1,0,0,1,1,2
CAPINOTA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2023-01-01,3,5,0,0,3,5,8
CARACOLLO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2023-01-01,0,5,0,0,0,5,5
CARIPUYO,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2023-01-01,1,1,0,0,1,1,2
CHALLAPATA,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2023-01-01,3,4,0,3,3,7,10
CHIMORE,otras vacunaciones,hepatitis b 2da. dosis trabajadores de salud,2023-01-01,1,0,1,0,2,0,2
