,group,variable,month,INFLUENZA ESTACIONAL A PERSONAL DE SALUD DENTRO,INFLUENZA ESTACIONAL A PERSONAL DE SALUD DENTRO,INFLUENZA ESTACIONAL A PERSONAL DE SALUD FUERA,INFLUENZA ESTACIONAL A PERSONAL DE SALUD FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,influenza estacional a personal de salud,2023-01-01,0,2,0,0,0,2,2
ACHOCALLA,otras vacunaciones,influenza estacional a personal de salud,2023-01-01,0,1,0,0,0,1,1
ANCORAIMES,otras vacunaciones,influenza estacional a personal de salud,2023-01-01,0,4,0,0,0,4,4
ANDAMARCA,otras vacunaciones,influenza estacional a personal de salud,2023-01-01,1,3,0,0,1,3,4
ASCENCION DE GUARAYOS,otras vacunaciones,influenza estacional a personal de salud,2023-01-01,0,13,0,0,0,13,13
ATOCHA,otras vacunaciones,influenza estacional a personal de salud,2023-01-01,1,0,1,0,2,0,2
AYO AYO,otras vacunaciones,influenza estacional a personal de salud,2023-01-01,1,2,0,2,1,4,5
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,influenza estacional a personal de salud,2023-01-01,0,1,0,0,0,1,1
BATALLAS,otras vacunaciones,influenza estacional a personal de salud,2023-01-01,6,6,0,0,6,6,12
BERMEJO,otras vacunaciones,influenza estacional a personal de salud,2023-01-01,2,3,0,0,2,3,5
BUENA VISTA,otras vacunaciones,influenza estacional a personal de salud,2023-01-01,0,3,0,0,0,3,3
CAIROMA,otras vacunaciones,influenza estacional a personal de salud,2023-01-01,0,1,0,0,0,1,1
"CAIZA ""D""",otras vacunaciones,influenza estacional a personal de salud,2023-01-01,0,2,0,0,0,2,2
CAJUATA,otras vacunaciones,influenza estacional a personal de salud,2023-01-01,2,3,2,4,4,7,11
CAMIRI,otras vacunaciones,influenza estacional a personal de salud,2023-01-01,1,4,0,0,1,4,5
CARAPARI,otras vacunaciones,influenza estacional a personal de salud,2023-01-01,0,1,0,0,0,1,1
CHARAGUA,otras vacunaciones,influenza estacional a personal de salud,2023-01-01,0,0,0,1,0,1,1
CHARAÑA,otras vacunaciones,influenza estacional a personal de salud,2023-01-01,3,1,0,0,3,1,4
