,group,variable,month,DT 2DA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 2DA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 2DA. DOSIS DE 7 A 49 AÑOS FUERA,DT 2DA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2023-01-01,0,3,0,0,0,3,3
ACHACACHI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2023-01-01,1,12,0,1,1,13,14
ACHOCALLA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2023-01-01,1,9,13,5,14,14,28
AIQUILE,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2023-01-01,0,1,0,13,0,14,14
ALTO BENI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2023-01-01,4,16,4,2,8,18,26
ANCORAIMES,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2023-01-01,0,2,0,0,0,2,2
ANDAMARCA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2023-01-01,0,2,0,0,0,2,2
APOLO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2023-01-01,1,12,1,4,2,16,18
ARAMPAMPA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2023-01-01,0,2,0,1,0,3,3
ARANI,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2023-01-01,5,16,1,4,6,20,26
ARBIETO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2023-01-01,4,8,0,0,4,8,12
ARQUE,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2023-01-01,4,4,2,1,6,5,11
ASCENCION DE GUARAYOS,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2023-01-01,0,23,0,0,0,23,23
ATOCHA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2023-01-01,2,2,0,0,2,2,4
AYATA,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2023-01-01,0,1,0,0,0,1,1
AYO AYO,otras vacunaciones,dt 2da. dosis de 7 a 49 anos,2023-01-01,1,3,0,0,1,3,4
