,group,variable,month,17.24 COVID-19 2DA DOSIS DENTRO,17.24 COVID-19 2DA DOSIS DENTRO,17.24 COVID-19 2DA DOSIS FUERA,17.24 COVID-19 2DA DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,1,2,1,3,2,5
ACHACACHI,otras vacunaciones,covid-19 2da dosis,2023-01-01,32,26,21,32,53,58,111
AIQUILE,otras vacunaciones,covid-19 2da dosis,2023-01-01,3,5,0,1,3,6,9
ALCALA,otras vacunaciones,covid-19 2da dosis,2023-01-01,0,0,0,1,0,1,1
ALTO BENI,otras vacunaciones,covid-19 2da dosis,2023-01-01,5,2,2,1,7,3,10
ANCORAIMES,otras vacunaciones,covid-19 2da dosis,2023-01-01,4,0,3,0,7,0,7
ANDAMARCA,otras vacunaciones,covid-19 2da dosis,2023-01-01,3,0,0,0,3,0,3
ANTEQUERA,otras vacunaciones,covid-19 2da dosis,2023-01-01,2,5,0,0,2,5,7
ANZALDO,otras vacunaciones,covid-19 2da dosis,2023-01-01,3,0,0,0,3,0,3
APOLO,otras vacunaciones,covid-19 2da dosis,2023-01-01,2,2,5,1,7,3,10
ARANI,otras vacunaciones,covid-19 2da dosis,2023-01-01,9,6,0,0,9,6,15
ARBIETO,otras vacunaciones,covid-19 2da dosis,2023-01-01,21,11,4,5,25,16,41
ARQUE,otras vacunaciones,covid-19 2da dosis,2023-01-01,5,3,8,5,13,8,21
ASCENCION DE GUARAYOS,otras vacunaciones,covid-19 2da dosis,2023-01-01,7,10,0,0,7,10,17
ATOCHA,otras vacunaciones,covid-19 2da dosis,2023-01-01,3,1,1,5,4,6,10
AYATA,otras vacunaciones,covid-19 2da dosis,2023-01-01,1,3,6,3,7,6,13
AYO AYO,otras vacunaciones,covid-19 2da dosis,2023-01-01,3,3,8,11,11,14,25
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid-19 2da dosis,2023-01-01,9,8,5,4,14,12,26
AZURDUY,otras vacunaciones,covid-19 2da dosis,2023-01-01,3,3,1,0,4,3,7
BATALLAS,otras vacunaciones,covid-19 2da dosis,2023-01-01,7,9,0,0,7,9,16
