,group,variable,month,17.20 HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE ENF RENALES DENTRO,17.20 HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE ENF RENALES DENTRO,17.20 HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE ENF RENALES FUERA,17.20 HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE ENF RENALES FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
POTOSI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-01-01,1,1,0,0,1,1,2
RURRENABAQUE,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-01-01,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-01-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-01-01,7,5,0,0,7,5,12
TRINIDAD,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-01-01,0,2,0,0,0,2,2
BERMEJO,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-02-01,0,1,0,0,0,1,1
CARANAVI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-02-01,1,0,0,0,1,0,1
GUAYARAMERIN,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-02-01,0,0,12,11,12,11,23
LA PAZ,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-02-01,6,2,0,0,6,2,8
MACHACAMARCA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-02-01,0,0,0,2,0,2,2
POTOSI,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-02-01,1,0,0,0,1,0,1
RIBERALTA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-02-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  3ra. dosis  poblacion vulnerable enf renales,2023-02-01,9,3,0,0,9,3,12
