,group,variable,month,17.28 COVID-19 DOSIS DE REFUERZO DENTRO,17.28 COVID-19 DOSIS DE REFUERZO DENTRO,17.28 COVID-19 DOSIS DE REFUERZO FUERA,17.28 COVID-19 DOSIS DE REFUERZO FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AIQUILE,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,67,85,10,11,77,96,173
ALCALA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,0,1,6,3,6,4,10
ANTEQUERA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,0,1,0,0,0,1,1
ARANI,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,6,4,0,0,6,4,10
ARBIETO,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,6,4,8,9,14,13,27
ARQUE,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,1,1,1,3,2,4,6
ATOCHA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,0,2,40,29,40,31,71
AYO AYO,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,1,0,0,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,11,9,6,3,17,12,29
AZURDUY,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,0,1,0,0,0,1,1
BELLA FLOR,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,0,0,1,2,1,2,3
BERMEJO,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,7,1,0,0,7,1,8
BETANZOS,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,5,3,0,0,5,3,8
BOLIVAR,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,1,1,0,0,1,1,2
BOLPEBRA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,0,1,2,5,2,6,8
"CAIZA ""D""",otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,0,4,1,0,1,4,5
CAJUATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,3,3,3,2,6,5,11
CAMARGO,otras vacunaciones,covid-19 dosis de refuerzo,2023-01-01,1,5,0,0,1,5,6
