,group,variable,month,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,6,15,73,104,79,119,198
ACHOCALLA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,5,19,10,29,15,48,63
AIQUILE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,7,4,1,7,8,11,19
APOLO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,1,4,6,7,7,11,18
ARQUE,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,0,10,16,10,16,26
ASCENCION DE GUARAYOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,2,32,0,0,2,32,34
AYATA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,0,0,1,0,1,1
AYO AYO,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,0,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,0,2,2,2,2,4
AZURDUY,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,5,3,6,5,11,8,19
BATALLAS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,1,9,0,1,1,10,11
BETANZOS,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,1,0,0,0,1,0,1
BOLIVAR,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,1,1,0,0,1,1,2
BOLPEBRA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,0,0,0,1,0,1,1
BUENA VISTA,otras vacunaciones,influenza estacional a personas con enfermedades cronicas,2023-01-01,7,2,0,0,7,2,9
