,group,variable,month,17.25 COVID-19 DOSIS UNICA DENTRO,17.25 COVID-19 DOSIS UNICA DENTRO,17.25 COVID-19 DOSIS UNICA FUERA,17.25 COVID-19 DOSIS UNICA FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ANCORAIMES,otras vacunaciones,covid-19 dosis unica,2023-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
ATOCHA,otras vacunaciones,covid-19 dosis unica,2023-01-01,2.0,6.0,0.0,1.0,2.0,7.0,9.0
BUENA VISTA,otras vacunaciones,covid-19 dosis unica,2023-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
"CAIZA ""D""",otras vacunaciones,covid-19 dosis unica,2023-01-01,0.0,6.0,0.0,0.0,0.0,6.0,6.0
CARAPARI,otras vacunaciones,covid-19 dosis unica,2023-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
CKOCHAS,otras vacunaciones,covid-19 dosis unica,2023-01-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
COBIJA,otras vacunaciones,covid-19 dosis unica,2023-01-01,1.0,1.0,7.0,7.0,8.0,8.0,16.0
"COLCHA ""K""",otras vacunaciones,covid-19 dosis unica,2023-01-01,6.0,4.0,0.0,0.0,6.0,4.0,10.0
COTAGAITA,otras vacunaciones,covid-19 dosis unica,2023-01-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
CUATRO CAÑADAS,otras vacunaciones,covid-19 dosis unica,2023-01-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
EL ALTO,otras vacunaciones,covid-19 dosis unica,2023-01-01,19.0,23.0,5.0,7.0,24.0,30.0,54.0
ENTRE RIOS TRJ,otras vacunaciones,covid-19 dosis unica,2023-01-01,4.0,2.0,1.0,0.0,5.0,2.0,7.0
GUAYARAMERIN,otras vacunaciones,covid-19 dosis unica,2023-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
HUATAJATA,otras vacunaciones,covid-19 dosis unica,2023-01-01,0.0,0.0,3.0,4.0,3.0,4.0,7.0
LA ASUNTA,otras vacunaciones,covid-19 dosis unica,2023-01-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
