,group,variable,month,DT 3RA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 3RA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 3RA. DOSIS DE 7 A 49 AÑOS FUERA,DT 3RA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,0,0,2,0,2,2
ACHACACHI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,3,0,5,0,8,8
ACHOCALLA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,3,0,1,0,4,4
AIQUILE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,2,4,0,18,2,22,24
ALALAY,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,3,1,4,1,7,8
ALTO BENI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,3,1,0,0,3,1,4
APOLO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,10,0,0,0,10,10
ARANI,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,5,10,1,2,6,12,18
ARBIETO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,2,9,2,1,4,10,14
ARQUE,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,3,2,0,0,3,2,5
ASCENCION DE GUARAYOS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,2,20,0,0,2,20,22
ATOCHA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,1,0,0,0,1,1
AYATA,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,0,0,2,2,2,2,4
AYO AYO,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,0,0,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,2,4,1,2,3,6,9
BATALLAS,otras vacunaciones,dt 3ra. dosis de 7 a 49 anos,2023-01-01,1,5,0,1,1,6,7
