,group,variable,month,17.18 HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE ENF. RENALES DENTRO,17.18 HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE ENF. RENALES DENTRO,17.18 HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE ENF. RENALES FUERA,17.18 HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE ENF. RENALES FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AZURDUY,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-01-01,1,1,0,0,1,1,2
COCAPATA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-01-01,2,1,0,0,2,1,3
"COLCHA ""K""",otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-01-01,3,0,2,0,5,0,5
FILADELFIA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-01-01,0,0,0,3,0,3,3
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-01-01,1,1,0,0,1,1,2
PORVENIR,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-01-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-01-01,8,11,0,0,8,11,19
PUCARANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-01-01,0,2,0,0,0,2,2
RIBERALTA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-01-01,4,2,3,0,7,2,9
SAN LORENZO(PND),otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-01-01,0,1,0,0,0,1,1
SAN MATIAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-01-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-01-01,17,13,0,0,17,13,30
TRINIDAD,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable  enf. renales,2023-01-01,3,4,0,0,3,4,7
