,group,variable,month,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS DENTRO,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS DENTRO,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS FUERA,INFLUENZA ESTACIONAL EN MAYORES DE 60 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,8,7,35,49,43,56,99
ACHOCALLA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,12,11,20,26,32,37,69
AIQUILE,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,55,42,17,24,72,66,138
ANDAMARCA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,0,2,0,2,2
ANZALDO,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,1,1,1,1,2
APOLO,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,15,12,10,6,25,18,43
ATOCHA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,1,0,0,0,1,1
AUCAPATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,3,5,0,0,3,5,8
AYATA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,5,3,5,3,8
AYO AYO,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,3,8,3,8,11
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,17,22,4,7,21,29,50
AZURDUY,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,0,0,1,0,1,0,1
BATALLAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,5,3,8,20,13,23,36
BOLIVAR,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,7,6,0,1,7,7,14
BOLPEBRA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,1,0,0,1,1,1,2
BUENA VISTA,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,17,7,0,0,17,7,24
CABEZAS,otras vacunaciones,influenza estacional en mayores de 60 anos,2023-01-01,4,4,5,6,9,10,19
