,group,variable,month,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 2DA. DOSIS DENTRO,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 2DA. DOSIS DENTRO,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 2DA. DOSIS FUERA,VPH (NIÑAS QUE CUMPLIRAN 10 AÑOS) 2DA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHOCALLA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,0,0,10,0,10,10
ARBIETO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,0,0,1,1
ARQUE,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,0,0,1,1
BELLA FLOR,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,0,0,1,0,1,1
BERMEJO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,2,0,0,0,2,2
BOLIVAR,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,0,0,1,0,1,1
CAJUATA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,1,0,2,2
CALAMARCA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,0,0,1,1
CAMARGO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,2,0,3,3
CAMIRI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,0,0,1,1
CAPINOTA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,0,0,1,0,1,1
CARACOLLO,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,0,0,1,1
CARANAVI,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,1,0,2,2
CHACARILLA,otras vacunaciones,vph  (ninas que cumpliran 10 anos) 2da. dosis,2023-01-01,0,1,0,0,0,1,1
