,group,variable,month,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD DENTRO,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD FUERA,HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,4,1,0,0,4,1,5
AIQUILE,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,12,16,0,2,12,18,30
ARBIETO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,1,3,0,0,1,3,4
ARQUE,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,4,0,0,0,4,4
ASCENCION DE GUARAYOS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,1,0,0,0,1,1
ATOCHA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,2,9,0,1,2,10,12
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,3,0,0,0,3,3
BATALLAS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,1,9,0,0,1,9,10
BELLA FLOR,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,3,1,0,0,3,1,4
BERMEJO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,5,9,0,0,5,9,14
BUENA VISTA,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,1,0,0,0,1,1
CABEZAS,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,0,1,0,0,0,1,1
"CAIZA ""D""",otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,3,9,0,1,3,10,13
CAMARGO,otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,3,4,0,0,3,4,7
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,hepatitis b 1ra. dosis trabajadores de salud,2023-01-01,5,5,0,0,5,5,10
