,group,variable,month,17.26 COVID-19 3RA DOSIS DENTRO,17.26 COVID-19 3RA DOSIS DENTRO,17.26 COVID-19 3RA DOSIS FUERA,17.26 COVID-19 3RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,2,3,0,0,2,3,5
ACHACACHI,otras vacunaciones,covid-19 3ra dosis,2023-01-01,42,28,39,46,81,74,155
AIQUILE,otras vacunaciones,covid-19 3ra dosis,2023-01-01,24,37,6,22,30,59,89
ALCALA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,3,0,2,2,5,2,7
ALTO BENI,otras vacunaciones,covid-19 3ra dosis,2023-01-01,4,4,2,3,6,7,13
ANCORAIMES,otras vacunaciones,covid-19 3ra dosis,2023-01-01,2,0,2,2,4,2,6
ANDAMARCA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,12,7,0,0,12,7,19
ANTEQUERA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,1,0,0,0,1,0,1
ANZALDO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,7,4,1,0,8,4,12
APOLO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,4,3,2,0,6,3,9
ARANI,otras vacunaciones,covid-19 3ra dosis,2023-01-01,9,9,0,0,9,9,18
ARBIETO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,33,29,5,8,38,37,75
ARQUE,otras vacunaciones,covid-19 3ra dosis,2023-01-01,6,9,3,7,9,16,25
ASCENCION DE GUARAYOS,otras vacunaciones,covid-19 3ra dosis,2023-01-01,9,7,1,2,10,9,19
ATOCHA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,7,4,12,32,19,36,55
AYATA,otras vacunaciones,covid-19 3ra dosis,2023-01-01,4,9,6,8,10,17,27
AYO AYO,otras vacunaciones,covid-19 3ra dosis,2023-01-01,3,2,5,5,8,7,15
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid-19 3ra dosis,2023-01-01,11,22,2,14,13,36,49
AZURDUY,otras vacunaciones,covid-19 3ra dosis,2023-01-01,2,3,3,0,5,3,8
BATALLAS,otras vacunaciones,covid-19 3ra dosis,2023-01-01,12,10,0,0,12,10,22
