,group,variable,month,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BATALLAS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2023-01-01,1,0,0,0,1,0,1
BERMEJO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2023-01-01,9,4,0,0,9,4,13
BETANZOS,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2023-01-01,0,1,0,0,0,1,1
CARACOLLO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2023-01-01,0,1,0,0,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2023-01-01,0,3,1,0,1,3,4
COLCAPIRHUA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2023-01-01,0,1,0,0,0,1,1
COLOMI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2023-01-01,1,1,0,0,1,1,2
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2023-01-01,5,11,1,6,6,17,23
EL TORNO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2023-01-01,0,2,0,0,0,2,2
EUREKA (SANTOS MERCADO),otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2023-01-01,1,0,0,0,1,0,1
HUANUNI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2023-01-01,0,0,1,0,1,0,1
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2023-01-01,1,4,0,2,1,6,7
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2023-01-01,0,0,4,0,4,0,4
