,group,variable,month,17.21 SR DENTRO,17.21 SR DENTRO,17.21 SR FUERA,17.21 SR FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,sr,2023-01-01,0,1,0,0,0,1,1
ACHOCALLA,otras vacunaciones,sr,2023-01-01,6,30,12,19,18,49,67
ANDAMARCA,otras vacunaciones,sr,2023-01-01,0,1,0,0,0,1,1
APOLO,otras vacunaciones,sr,2023-01-01,0,0,1,0,1,0,1
ARANI,otras vacunaciones,sr,2023-01-01,0,0,0,2,0,2,2
ARBIETO,otras vacunaciones,sr,2023-01-01,1,1,0,0,1,1,2
ARQUE,otras vacunaciones,sr,2023-01-01,1,4,0,0,1,4,5
ASCENCION DE GUARAYOS,otras vacunaciones,sr,2023-01-01,0,7,1,1,1,8,9
ATOCHA,otras vacunaciones,sr,2023-01-01,0,1,0,0,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,sr,2023-01-01,0,1,1,2,1,3,4
BATALLAS,otras vacunaciones,sr,2023-01-01,9,16,5,7,14,23,37
BERMEJO,otras vacunaciones,sr,2023-01-01,8,3,0,0,8,3,11
BOLIVAR,otras vacunaciones,sr,2023-01-01,1,0,0,0,1,0,1
BUENA VISTA,otras vacunaciones,sr,2023-01-01,3,0,0,0,3,0,3
"CAIZA ""D""",otras vacunaciones,sr,2023-01-01,2,0,0,0,2,0,2
CAMIRI,otras vacunaciones,sr,2023-01-01,2,2,0,0,2,2,4
CARACOLLO,otras vacunaciones,sr,2023-01-01,3,1,0,0,3,1,4
CARANAVI,otras vacunaciones,sr,2023-01-01,7,7,1,0,8,7,15
CARIPUYO,otras vacunaciones,sr,2023-01-01,0,0,4,3,4,3,7
CARMEN RIVERO TORREZ,otras vacunaciones,sr,2023-01-01,1,0,0,0,1,0,1
CHALLAPATA,otras vacunaciones,sr,2023-01-01,1,2,0,0,1,2,3
CHARAGUA,otras vacunaciones,sr,2023-01-01,3,1,0,0,3,1,4
CHARAÑA,otras vacunaciones,sr,2023-01-01,0,0,0,1,0,1,1
CHIMORE,otras vacunaciones,sr,2023-01-01,4,0,0,0,4,0,4
CLIZA,otras vacunaciones,sr,2023-01-01,0,0,2,1,2,1,3
