,group,variable,month,DT 5TA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 5TA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 5TA. DOSIS DE 7 A 49 AÑOS FUERA,DT 5TA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2023-01-01,0,2,0,0,0,2,2
ACHOCALLA,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2023-01-01,0,1,0,0,0,1,1
APOLO,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2023-01-01,2,2,1,0,3,2,5
ARANI,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2023-01-01,0,5,0,1,0,6,6
ARBIETO,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2023-01-01,3,2,0,0,3,2,5
ARQUE,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2023-01-01,1,1,0,1,1,2,3
ASCENCION DE GUARAYOS,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2023-01-01,0,4,0,0,0,4,4
AYATA,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2023-01-01,0,1,2,0,2,1,3
AYO AYO,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2023-01-01,0,1,0,0,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2023-01-01,0,0,0,1,0,1,1
BELLA FLOR,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2023-01-01,0,1,1,6,1,7,8
BOLPEBRA,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2023-01-01,0,0,0,1,0,1,1
BUENA VISTA,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2023-01-01,1,7,0,0,1,7,8
CABEZAS,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2023-01-01,0,1,0,0,0,1,1
CAIROMA,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2023-01-01,5,3,8,13,13,16,29
CAJUATA,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2023-01-01,0,1,0,0,0,1,1
