,group,variable,month,17.19 HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE ENF RENALES DENTRO,17.19 HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE ENF RENALES DENTRO,17.19 HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE ENF RENALES FUERA,17.19 HEPATITIS B 2DA. DOSIS POBLACIÓN VULNERABLE ENF RENALES FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
HUACARETA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-01-01,2,2,0,0,2,2,4
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-01-01,0,1,0,0,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-01-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-01-01,1,2,0,0,1,2,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-01-01,11,13,0,0,11,13,24
TRINIDAD,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-01-01,0,4,0,0,0,4,4
UNCIA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-01-01,0,1,0,0,0,1,1
ATOCHA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-02-01,0,1,0,0,0,1,1
COCHABAMBA,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-02-01,0,4,0,0,0,4,4
EL ALTO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-02-01,4,2,0,0,4,2,6
EL PUENTE(STC),otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-02-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-02-01,16,13,0,0,16,13,29
PORTACHUELO,otras vacunaciones,hepatitis b  2da. dosis  poblacion vulnerable enf renales,2023-02-01,0,1,0,0,0,1,1
