,group,variable,month,17.27 COVID-19 DOSIS ANUAL (4TA DOSIS) DENTRO,17.27 COVID-19 DOSIS ANUAL (4TA DOSIS) DENTRO,17.27 COVID-19 DOSIS ANUAL (4TA DOSIS) FUERA,17.27 COVID-19 DOSIS ANUAL (4TA DOSIS) FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,1,1,0,2,1,3
ACHACACHI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,8,13,8,14,16,27,43
AIQUILE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,38,55,9,15,47,70,117
ALCALA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,3,2,5,16,8,18,26
ALTO BENI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,3,4,3,2,6,6,12
ANCORAIMES,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,1,0,0,0,1,1
ANDAMARCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,3,0,0,0,3,3
ANTEQUERA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,5,4,0,0,5,4,9
ANZALDO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,0,0,0,1,0,1
APOLO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,0,0,0,1,0,1
ARANI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,9,10,0,0,9,10,19
ARBIETO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,20,27,3,5,23,32,55
ARQUE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,1,2,5,8,6,10,16
ASCENCION DE GUARAYOS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,6,6,0,0,6,6,12
ATOCHA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,6,14,18,26,24,40,64
AUCAPATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,1,0,0,0,1,1
AYATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-01-01,0,0,3,6,3,6,9
