,group,variable,month,DT 1RA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 1RA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 1RA. DOSIS DE 7 A 49 AÑOS FUERA,DT 1RA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2023-01-01,0,2,0,0,0,2,2
ACHACACHI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2023-01-01,6,25,10,14,16,39,55
ACHOCALLA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2023-01-01,4,24,1,2,5,26,31
AIQUILE,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2023-01-01,8,9,0,0,8,9,17
ALALAY,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2023-01-01,0,1,0,0,0,1,1
ALTO BENI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2023-01-01,6,10,0,0,6,10,16
ANCORAIMES,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2023-01-01,1,6,0,0,1,6,7
ANDAMARCA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2023-01-01,1,0,0,1,1,1,2
ANZALDO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2023-01-01,0,2,0,2,0,4,4
APOLO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2023-01-01,1,14,1,0,2,14,16
ARAMPAMPA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2023-01-01,0,0,0,5,0,5,5
ARANI,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2023-01-01,14,12,5,3,19,15,34
ARBIETO,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2023-01-01,7,12,2,0,9,12,21
ARQUE,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2023-01-01,1,3,0,0,1,3,4
ASCENCION DE GUARAYOS,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2023-01-01,4,19,0,0,4,19,23
ATOCHA,otras vacunaciones,dt 1ra. dosis de 7 a 49 anos,2023-01-01,8,6,0,0,8,6,14
