,group,variable,month,PENTAVALENTE 1RA DOSIS DENTRO,PENTAVALENTE 1RA DOSIS DENTRO,PENTAVALENTE 1RA DOSIS FUERA,PENTAVALENTE 1RA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,3,0,1,2,6
ACHACACHI,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,18,20,6,4,48
ACHOCALLA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,30,17,0,1,48
AIQUILE,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,12,16,6,4,38
ALCALA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,1,2,0,0,3
ALTO BENI,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,13,6,3,0,22
ANCORAIMES,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,12,6,0,1,19
ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,2,1,1,0,4
ANTEQUERA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,0,1,0,1,2
ANZALDO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,5,2,5,1,13
APOLO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,17,16,0,5,38
ARAMPAMPA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,1,1,4,5,11
ARANI,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,6,6,2,1,15
ARBIETO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,21,16,2,4,43
ARQUE,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,8,7,2,2,19
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,33,28,11,7,79
ATOCHA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,9,8,0,0,17
AUCAPATA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,10,3,0,0,13
AYATA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,10,6,4,1,21
AYO AYO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,7,9,2,1,19
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,19,12,5,7,43
AZURDUY,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,6,6,4,3,19
BATALLAS,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,18,16,2,1,37
BAURES,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,2,1,0,0,3
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,1,1,0,0,2
BELLA FLOR,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,1,0,0,0,1
BERMEJO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,22,27,1,1,51
BETANZOS,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2021-01-01,13,17,6,4,40
