,group,variable,month,INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS DENTRO,INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS DENTRO,INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS FUERA,INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2021-01-01,0,0,2,3,5
ACHOCALLA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2021-01-01,0,1,0,1,2
ANDAMARCA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2021-01-01,0,0,3,1,4
APOLO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2021-01-01,5,4,0,1,10
ATOCHA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2021-01-01,1,1,0,0,2
BELLA FLOR,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2021-01-01,0,2,1,0,3
BETANZOS,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2021-01-01,5,5,2,1,13
CABEZAS,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2021-01-01,3,1,1,10,15
"CAIZA ""D""",vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2021-01-01,2,2,0,1,5
CARACOLLO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2021-01-01,1,5,0,1,7
CARANAVI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2021-01-01,3,2,0,0,5
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2021-01-01,4,3,3,2,12
CHALLAPATA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2021-01-01,6,5,1,2,14
CHARAGUA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2021-01-01,12,13,0,1,26
CHAYANTA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2021-01-01,0,1,0,0,1
CHOQUE COTA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2021-01-01,0,1,0,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2021-01-01,5,1,3,2,11
CHUMA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2021-01-01,0,0,1,2,3
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2021-01-01,0,0,0,1,1
CKOCHAS,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2021-01-01,0,1,0,0,1
COBIJA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2021-01-01,16,15,2,3,36
COCHABAMBA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2021-01-01,52,38,0,2,92
