,group,variable,month,ANTIPOLIOMIELÍTICA 3RA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 3RA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 3RA DOSIS FUERA,ANTIPOLIOMIELÍTICA 3RA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,2,1,0,1,4
ACHACACHI,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,19,12,9,5,45
ACHOCALLA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,21,12,1,1,35
AIQUILE,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,13,14,9,6,42
ALALAY,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,1,1,1,2,5
ALCALA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,1,0,1,1,3
ALTO BENI,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,2,4,2,0,8
ANCORAIMES,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,12,7,1,0,20
ANDAMARCA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,1,0,0,0,1
ANTEQUERA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,0,3,0,0,3
ANZALDO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,1,0,2,2,5
APOLO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,13,12,6,3,34
ARAMPAMPA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,2,1,1,2,6
ARANI,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,3,6,3,0,12
ARBIETO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,21,13,6,5,45
ARQUE,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,6,2,0,2,10
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,20,18,0,0,38
ATOCHA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,3,7,0,0,10
AUCAPATA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,3,1,0,1,5
AYATA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,2,1,3,2,8
AYO AYO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,4,6,0,1,11
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,12,14,4,5,35
AZURDUY,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,4,3,3,2,12
BATALLAS,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,10,10,2,1,23
BAURES,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,0,0,2,1,3
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2021-01-01,1,1,1,0,3
