,group,variable,month,ANTIROTAVIRÍCA 2DA DOSIS DENTRO,ANTIROTAVIRÍCA 2DA DOSIS DENTRO,ANTIROTAVIRÍCA 2DA DOSIS FUERA,ANTIROTAVIRÍCA 2DA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2021-01-01,2,1,2,1,6
ACHACACHI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2021-01-01,18,17,5,3,43
ACHOCALLA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2021-01-01,16,17,0,0,33
AIQUILE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2021-01-01,10,7,8,4,29
ALALAY,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2021-01-01,1,1,1,2,5
ALCALA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2021-01-01,0,0,2,1,3
ALTO BENI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2021-01-01,9,4,0,0,13
ANCORAIMES,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2021-01-01,1,11,2,0,14
ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2021-01-01,0,0,0,2,2
ANTEQUERA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2021-01-01,2,1,0,0,3
ANZALDO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2021-01-01,4,1,4,1,10
APOLO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2021-01-01,13,7,4,4,28
ARAMPAMPA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2021-01-01,2,0,0,2,4
ARANI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2021-01-01,6,8,0,2,16
ARBIETO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2021-01-01,16,18,6,4,44
ARQUE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2021-01-01,4,12,6,4,26
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2021-01-01,32,16,6,3,57
ATOCHA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2021-01-01,6,5,1,0,12
AUCAPATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2021-01-01,6,3,0,0,9
AYATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2021-01-01,2,3,1,2,8
AYO AYO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2021-01-01,1,10,2,0,13
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2021-01-01,15,12,5,5,37
AZURDUY,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2021-01-01,7,3,4,6,20
BATALLAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2021-01-01,16,13,1,1,31
BAURES,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2021-01-01,0,2,4,1,7
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2021-01-01,0,0,2,1,3
BELEN DE URMIRI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2021-01-01,0,0,1,1,2
BELLA FLOR,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2021-01-01,1,0,0,1,2
