,group,variable,month,BCG DENTRO,BCG DENTRO,BCG FUERA,BCG FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,bcg,2021-01-01,2,2,0,0,4
ACHACACHI,vacunaciones en menores de 1 ano,bcg,2021-01-01,26,19,9,14,68
ACHOCALLA,vacunaciones en menores de 1 ano,bcg,2021-01-01,6,15,5,1,27
AIQUILE,vacunaciones en menores de 1 ano,bcg,2021-01-01,14,12,1,1,28
ALALAY,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,0,2,2,4
ALCALA,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,1,0,0,1
ALTO BENI,vacunaciones en menores de 1 ano,bcg,2021-01-01,5,6,0,1,12
ANCORAIMES,vacunaciones en menores de 1 ano,bcg,2021-01-01,2,5,4,3,14
ANDAMARCA,vacunaciones en menores de 1 ano,bcg,2021-01-01,2,0,0,1,3
ANZALDO,vacunaciones en menores de 1 ano,bcg,2021-01-01,2,1,2,0,5
APOLO,vacunaciones en menores de 1 ano,bcg,2021-01-01,7,6,3,9,25
ARAMPAMPA,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,1,1,4,6
ARANI,vacunaciones en menores de 1 ano,bcg,2021-01-01,4,2,2,0,8
ARBIETO,vacunaciones en menores de 1 ano,bcg,2021-01-01,7,14,0,1,22
ARQUE,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,2,6,4,13
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,bcg,2021-01-01,41,31,16,3,91
ATOCHA,vacunaciones en menores de 1 ano,bcg,2021-01-01,5,1,0,0,6
AUCAPATA,vacunaciones en menores de 1 ano,bcg,2021-01-01,2,1,2,7,12
AYATA,vacunaciones en menores de 1 ano,bcg,2021-01-01,2,0,5,4,11
AYO AYO,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,1,4,3,9
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,bcg,2021-01-01,12,19,12,7,50
AZURDUY,vacunaciones en menores de 1 ano,bcg,2021-01-01,6,4,3,1,14
BATALLAS,vacunaciones en menores de 1 ano,bcg,2021-01-01,8,3,7,6,24
BELLA FLOR,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,0,0,0,1
BERMEJO,vacunaciones en menores de 1 ano,bcg,2021-01-01,18,30,0,0,48
BETANZOS,vacunaciones en menores de 1 ano,bcg,2021-01-01,7,7,11,11,36
BOLIVAR,vacunaciones en menores de 1 ano,bcg,2021-01-01,0,0,3,3,6
BOYUIBE,vacunaciones en menores de 1 ano,bcg,2021-01-01,2,1,0,0,3
BUENA VISTA,vacunaciones en menores de 1 ano,bcg,2021-01-01,8,3,0,0,11
CABEZAS,vacunaciones en menores de 1 ano,bcg,2021-01-01,11,12,23,25,71
CAIROMA,vacunaciones en menores de 1 ano,bcg,2021-01-01,7,4,2,2,15
"CAIZA ""D""",vacunaciones en menores de 1 ano,bcg,2021-01-01,2,1,6,1,10
CAJUATA,vacunaciones en menores de 1 ano,bcg,2021-01-01,13,8,0,0,21
CALACOTO,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,0,2,1,4
CALAMARCA,vacunaciones en menores de 1 ano,bcg,2021-01-01,1,3,5,5,14
